iteration,gradient_norm_on_full_trainset_avg,piA_I_minus_Binf_y_norm
0,0.32698294353684243,0.030519539954927198
1,0.32252708628016136,0.026353074384358438
2,0.31808725918460223,0.023916709528498597
3,0.3136491708228143,0.023096725981360217
4,0.30932952255535573,0.02050794395177887
5,0.30499947448553094,0.019500665974539266
6,0.300785365957431,0.018517060666311612
7,0.29662601778975684,0.01772892918382194
8,0.2925530577863533,0.01804681640820527
9,0.28856924503922504,0.016339621930987723
10,0.2846322314064887,0.017142248078164002
11,0.28075839968214134,0.017024511604136452
12,0.27695147655985164,0.016171382673728744
13,0.2732368476351084,0.015986026172649596
14,0.2695656916300805,0.015661052743490517
15,0.2659520480237324,0.015691994046330877
16,0.26240465528447005,0.016652040908964896
17,0.25888885006805096,0.015258143750246375
18,0.2555241188567677,0.014826631109302426
19,0.25218661407995,0.014940661393516625
20,0.2489194556471969,0.015074251724775153
21,0.245754683179565,0.015579870384265499
22,0.24257645783969423,0.01519564061541992
23,0.23945969230836087,0.014264804365753243
24,0.23640746676072905,0.014712680012009472
25,0.23341771493863422,0.015251798166469325
26,0.23049996408141946,0.014380009160453996
27,0.22761150403240832,0.013770393437547301
28,0.22479867936958672,0.013650643946972957
29,0.22206483735017782,0.013922487188581878
30,0.21936531621226307,0.013873208357467698
31,0.21672100170468717,0.013839089180878283
32,0.21413526983341194,0.014053132078845685
33,0.21158568734128905,0.013498507794129627
34,0.209072969567304,0.013718023645336298
35,0.20659607184225243,0.013054408279797768
36,0.2041843914943696,0.013413746070105625
37,0.20185041492168643,0.013849244763712187
38,0.1995219825024944,0.013190821710861968
39,0.1972699846494987,0.013976241013264928
40,0.19502554715381035,0.012124635602253542
41,0.19281928696766001,0.012596491868916888
42,0.19066555827738343,0.012642015803549112
43,0.188550447444812,0.012840196470122935
44,0.1864656453774672,0.012890208318252508
45,0.1844397039263706,0.01290216001321871
46,0.18242225489687194,0.013318027262385564
47,0.18043386467694802,0.011929211593593416
48,0.17852543931522707,0.011590749500824482
49,0.17662971756815687,0.01299986673642382
50,0.17477824590355168,0.012795301413884606
51,0.17294542443394828,0.012598104383397308
52,0.17115841931960185,0.011442902980648394
53,0.16941109859105213,0.012272164963411634
54,0.167691632055237,0.011800937236043137
55,0.16598300433502639,0.012140377878946059
56,0.16431344426872113,0.012000956756601708
57,0.1626671827036373,0.01158603665576256
58,0.16106072153936934,0.01222948754824527
59,0.15944873139561047,0.011943223567989894
60,0.15786131960058863,0.012268628189019483
61,0.15631361541407768,0.011645878327841147
62,0.15479219967133906,0.010912959261873651
63,0.15331642207516352,0.011264196539020107
64,0.1518556233389655,0.011489047237151726
65,0.15042242623312133,0.011293988546714168
66,0.14901751077565142,0.011730508597688153
67,0.14762545104773836,0.011464145511313348
68,0.14624457095071844,0.0108345255675473
69,0.14489591054202058,0.011622645859673205
70,0.14354915224048825,0.010471851179460067
71,0.14224291872141875,0.01165928311216137
72,0.14095795908099967,0.010885159124451699
73,0.13969940198310762,0.010769954964531089
74,0.13844899067628436,0.010974778746382193
75,0.13721071894632586,0.01160659955223601
76,0.1359788064719641,0.011055532878665179
77,0.13478664925416772,0.010947946257992908
78,0.1335931661219309,0.010366476265924518
79,0.13242180307525797,0.010346049344587532
80,0.1312819319704916,0.01001158225491533
81,0.13015347207824945,0.010903695547012282
82,0.12904527488663384,0.011102603288507148
83,0.12794751149203015,0.01079102656098727
84,0.12688494992859595,0.010207881182659185
85,0.12583206616483084,0.009987417021751422
86,0.12478432424084052,0.010590904043146417
87,0.12377118606060449,0.01040284406244075
88,0.12275235604406953,0.010554557321245162
89,0.12175637578309387,0.010737802494481556
90,0.12077199452079992,0.010365743723188697
91,0.11979924029465017,0.010560938948272688
92,0.11882607681678584,0.009951284591658645
93,0.11788877403108027,0.010885824610019778
94,0.11695757509703394,0.009530391619860539
95,0.11603954687852865,0.010807133355933151
96,0.11511886847247652,0.010724235432772037
97,0.11423716407668871,0.009949775722623715
98,0.11335689885191917,0.010046865893013755
99,0.11249440314008355,0.010530842175588695
100,0.11165260257553818,0.010779653333739097
101,0.11078872451541684,0.009631261285274265
102,0.10994654372605454,0.009330041523706062
103,0.1091186467317942,0.010660712254939073
104,0.10829425082333173,0.009251796344992055
105,0.1074817296312792,0.009951754493723628
106,0.10669201096241117,0.010039728955554734
107,0.10590606267358041,0.009732500518196385
108,0.10511954178029473,0.009293527378693829
109,0.10434503036222342,0.009748145907066196
110,0.10358378983976875,0.009489149414379425
111,0.10283436874189364,0.010054985517853273
112,0.10209221465491007,0.010164617607396684
113,0.10135537222128654,0.010210287284334969
114,0.10063671459701062,0.0101630933017043
115,0.09990866278566055,0.009474184480100118
116,0.09921280338727688,0.00997355518512489
117,0.09850964172332903,0.010138910243197496
118,0.0978075660872608,0.009787989404080155
119,0.0971277742173968,0.010105390809548729
120,0.09644799879956004,0.009172279179176516
121,0.0957865010520695,0.009922933197194079
122,0.09511964141307139,0.0093703599682389
123,0.0944737258968497,0.009109709160721935
124,0.09383601190650452,0.01009664707379677
125,0.09319683611840612,0.009185309280408185
126,0.09256433768820024,0.009675860141486567
127,0.09194194306135713,0.00910674797182551
128,0.09133555682035652,0.009417684051749947
129,0.09071841060646457,0.009921273552140758
130,0.09011981049430429,0.010221437815599727
131,0.0895388053550927,0.009543805955189054
132,0.08896164913690667,0.009376507517741753
133,0.08838435089972813,0.009977147318818082
134,0.08781352435889404,0.009282432675694747
135,0.08724763186091893,0.009411857551461891
136,0.08668525936120898,0.009238878905441445
137,0.08611771178757913,0.009126000894009705
138,0.08558078528124882,0.009164683365979375
139,0.08502142833764925,0.00967776879908146
140,0.08448927193677434,0.009102495128838397
141,0.08395672791761759,0.009778339517448878
142,0.08342806640511526,0.009444910212937635
143,0.08291040895921173,0.00872646370949206
144,0.08240624797203637,0.009313421914420994
145,0.08190828619786039,0.009297106707105042
146,0.08139946780495612,0.00920540057238398
147,0.08089199838679255,0.008960268474909413
148,0.08040444408178668,0.00907181682172822
149,0.07991036743374566,0.0089811186747475
150,0.07941849591651666,0.0089535583579049
151,0.07894326038900949,0.009325980319309254
152,0.07847125288486681,0.009904056380130026
153,0.07800107707953165,0.008709585520075894
154,0.07752901395900103,0.009355407195627755
155,0.0770625594483417,0.008911616111479597
156,0.07660494780484264,0.008973136959857433
157,0.07615474116521989,0.008125817997977822
158,0.07570933070542013,0.00973920730487952
159,0.0752671771437956,0.00916013145895794
160,0.07482263290460456,0.008831322351290204
161,0.07439159603776917,0.008698417489056889
162,0.07395678515969738,0.009172160857171768
163,0.0735341830851488,0.00809176213966618
164,0.07312139829715834,0.009715119275566854
165,0.07269849812738069,0.009664700798750911
166,0.0722846205044804,0.00838883706891538
167,0.07186963250505488,0.008916232734898496
168,0.07146809048759342,0.00911338055681339
169,0.07107137214903944,0.00922514250449355
170,0.07067602337551177,0.008260951359005102
171,0.07028750778974395,0.009193592168649446
172,0.06989046520978473,0.009344028932189368
173,0.0695016338203484,0.008936977053145197
174,0.06911107126069348,0.009097977687787808
175,0.06873523065056059,0.008590022585873738
176,0.06835548326790651,0.008708035321872951
177,0.06797619527766377,0.008557764476746822
178,0.06760136702082531,0.008670090580726469
179,0.06722644651749111,0.009085299446688984
180,0.06685760300356643,0.00842631633504154
181,0.0664977366617939,0.008974746085117249
