epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
1,1,1,2.305,2.3026,0.1176,2.3026,0.1149
1,2,2,2.2598,2.3026,0.1,2.3026,0.1
1,3,3,2.2272,2.3026,0.1,2.3026,0.1
1,4,4,2.3762,2.3029,0.1,2.3029,0.1
1,5,5,2.4964,2.3032,0.1,2.3032,0.1
1,6,6,2.2881,2.3028,0.1,2.3028,0.1
1,7,7,2.2246,2.3033,0.1,2.3033,0.1
1,8,8,2.4154,2.3031,0.1,2.3031,0.1
1,9,9,2.569,2.3031,0.1,2.3031,0.1
1,10,10,2.3337,2.3049,0.1,2.3048,0.1
1,11,11,2.2608,2.3029,0.1,2.3029,0.1
1,12,12,2.2247,2.3031,0.1,2.3031,0.1
1,13,13,2.1718,2.3031,0.1,2.3031,0.1
1,14,14,2.102,2.3035,0.1,2.3035,0.1
1,15,15,2.0691,2.3037,0.1,2.3037,0.1
1,16,16,2.4112,2.3042,0.1,2.3042,0.1
1,17,17,2.6853,2.3106,0.1,2.3105,0.1
1,18,18,2.3579,2.3079,0.1,2.3078,0.1
1,19,19,2.2046,2.3038,0.1,2.3037,0.1
1,20,20,2.1566,2.3049,0.1,2.3047,0.1
1,21,21,2.1003,2.305,0.132,2.3047,0.1324
1,22,22,2.1233,2.3105,0.1269,2.3099,0.1471
1,23,23,2.1013,2.3119,0.1,2.3114,0.1
1,24,24,2.1427,2.3153,0.1,2.3128,0.1
1,25,25,2.079,2.3113,0.1023,2.31,0.1032
2,1,26,2.0704,2.3148,0.1,2.31,0.1
2,2,27,2.0614,2.3154,0.1116,2.3131,0.1105
2,3,28,2.0408,2.3038,0.1065,2.2958,0.109
2,4,29,2.0614,2.3124,0.1023,2.3082,0.1055
2,5,30,2.0766,2.305,0.1004,2.2856,0.1008
2,6,31,2.0284,2.2969,0.1241,2.2843,0.1199
2,7,32,1.9984,2.3011,0.1241,2.288,0.1281
2,8,33,1.9905,2.2716,0.1576,2.2566,0.1706
2,9,34,2.0801,2.3014,0.1508,2.2809,0.1497
2,10,35,2.0431,2.244,0.1656,2.2084,0.1921
2,11,36,1.9345,2.1931,0.1846,2.142,0.2432
2,12,37,1.9262,2.2029,0.1955,2.1667,0.2142
2,13,38,1.9221,2.1851,0.1608,2.1389,0.1821
2,14,39,2.121,2.3277,0.1479,2.3175,0.1495
2,15,40,2.156,2.2132,0.1647,2.1669,0.1912
2,16,41,2.0622,2.1561,0.1922,2.114,0.216
2,17,42,1.9718,2.1169,0.2353,2.0483,0.2667
2,18,43,1.9045,2.0679,0.2494,1.9856,0.2841
2,19,44,1.9288,2.1332,0.2088,2.0832,0.226
2,20,45,2.0122,2.2333,0.1665,2.131,0.2159
2,21,46,2.0286,2.2181,0.1813,2.111,0.2248
2,22,47,1.9957,2.1148,0.2347,2.0234,0.2851
2,23,48,1.9218,2.0945,0.2148,1.9591,0.2578
2,24,49,1.8892,2.0659,0.2515,1.9411,0.2936
2,25,50,1.9783,1.9618,0.2832,1.8751,0.3152
3,1,51,1.8994,1.9747,0.2501,1.8664,0.2878
3,2,52,1.837,1.8964,0.2902,1.8012,0.3336
3,3,53,1.8546,1.9177,0.288,1.8019,0.3326
3,4,54,1.9242,2.0858,0.2309,2.0124,0.2619
3,5,55,1.8735,1.9271,0.2718,1.8607,0.2946
3,6,56,1.8369,2.0302,0.2508,1.9138,0.2993
3,7,57,1.8173,1.9591,0.2658,1.8645,0.3074
3,8,58,1.8455,1.9319,0.2997,1.8525,0.3277
3,9,59,1.8751,2.1023,0.2121,1.9845,0.2509
3,10,60,1.9312,2.0305,0.2611,1.9968,0.2879
3,11,61,1.9069,1.9412,0.2765,1.879,0.3029
3,12,62,1.8215,2.1567,0.2262,1.9979,0.2725
3,13,63,1.7661,1.8433,0.3175,1.726,0.3616
3,14,64,1.8312,1.9173,0.288,1.8245,0.3221
3,15,65,1.8802,2.0196,0.2667,1.9672,0.2988
3,16,66,1.9167,2.4328,0.2222,2.34,0.2579
3,17,67,1.8607,1.9727,0.2813,2.0008,0.2927
3,18,68,1.7474,1.8431,0.3229,1.7482,0.3611
3,19,69,1.7583,1.812,0.3226,1.6916,0.37
3,20,70,1.7191,1.8366,0.3179,1.739,0.3584
3,21,71,1.772,1.939,0.2767,1.7865,0.3229
3,22,72,1.8388,2.3932,0.2374,2.5428,0.247
3,23,73,1.7754,1.9426,0.3061,1.8303,0.3485
3,24,74,1.7895,1.9072,0.3057,1.8706,0.3175
3,25,75,1.8457,1.9838,0.2769,1.879,0.3265
4,1,76,1.8494,2.3065,0.2523,2.3647,0.2608
4,2,77,1.8004,2.3738,0.2076,2.3355,0.2318
4,3,78,1.8583,2.078,0.2753,2.079,0.2999
4,4,79,1.8286,1.9536,0.3109,1.9761,0.3401
4,5,80,1.7115,1.7603,0.3523,1.6531,0.3996
4,6,81,1.7172,1.7584,0.3451,1.6526,0.3841
4,7,82,1.8173,2.2933,0.1908,2.2222,0.2098
4,8,83,1.8507,2.0921,0.2689,2.2005,0.2729
4,9,84,1.8039,1.912,0.2985,1.8843,0.3139
4,10,85,1.6998,1.7888,0.3504,1.6708,0.3876
4,11,86,1.6906,1.8776,0.3021,1.776,0.3343
4,12,87,1.7369,1.9713,0.287,1.9033,0.3092
4,13,88,1.7128,1.8128,0.3196,1.726,0.3553
4,14,89,1.6826,1.821,0.3279,1.6952,0.3692
4,15,90,1.6419,1.8685,0.3086,1.7625,0.3511
4,16,91,1.7294,1.8528,0.3226,1.7046,0.3635
4,17,92,1.8209,2.024,0.3205,1.9481,0.3562
4,18,93,1.7009,1.7532,0.3555,1.6997,0.3812
4,19,94,1.6618,1.925,0.2944,1.7639,0.35
4,20,95,1.6165,1.6821,0.3895,1.5731,0.4175
4,21,96,1.7461,2.0524,0.2639,1.8528,0.336
4,22,97,1.7794,2.2712,0.225,2.2918,0.2499
4,23,98,1.7805,2.0799,0.2792,2.0095,0.3188
4,24,99,1.7157,1.8684,0.3016,1.8102,0.3086
4,25,100,1.7717,2.1828,0.2799,2.1966,0.2861
5,1,101,1.7902,2.2689,0.226,2.1813,0.2673
5,2,102,1.7735,2.2723,0.2733,2.3925,0.295
5,3,103,1.6455,1.8262,0.3472,1.6928,0.3892
5,4,104,1.5974,1.6765,0.3733,1.6178,0.3937
5,5,105,1.6558,1.8075,0.3334,1.6531,0.3744
5,6,106,1.682,1.7854,0.3423,1.777,0.3418
5,7,107,1.6813,2.0546,0.2831,2.0309,0.3038
5,8,108,1.6332,1.7012,0.3553,1.6049,0.3839
5,9,109,1.6229,1.8307,0.3528,1.6832,0.4014
5,10,110,1.7653,1.9943,0.306,2.0253,0.3265
5,11,111,1.8159,2.1154,0.2799,2.0799,0.3098
5,12,112,1.8298,2.1154,0.2634,2.1297,0.294
5,13,113,1.6277,1.8034,0.3405,1.7004,0.371
5,14,114,1.6518,1.689,0.3906,1.5871,0.4272
5,15,115,1.6247,1.8365,0.3283,1.7687,0.3579
5,16,116,1.6277,1.7257,0.3704,1.7073,0.3898
5,17,117,1.6316,1.7999,0.3339,1.6964,0.3752
5,18,118,1.667,1.7478,0.3643,1.7447,0.3888
5,19,119,1.5881,1.7678,0.3482,1.6801,0.3888
5,20,120,1.554,1.5744,0.4172,1.4782,0.4442
5,21,121,1.57,1.6654,0.3814,1.6159,0.3929
5,22,122,1.708,1.8364,0.3337,1.7798,0.3555
5,23,123,1.7373,1.9037,0.325,1.8069,0.3546
5,24,124,1.767,2.4699,0.2887,2.8991,0.2811
5,25,125,1.6279,1.6464,0.3996,1.5932,0.4143
6,1,126,1.575,1.6467,0.3831,1.5062,0.4294
6,2,127,1.6224,1.8443,0.3615,1.8096,0.3883
6,3,128,1.618,1.9746,0.3262,1.8244,0.3776
6,4,129,1.5937,1.6705,0.3764,1.5993,0.4028
6,5,130,1.5634,1.6101,0.411,1.5141,0.4438
6,6,131,1.6096,1.7195,0.373,1.6244,0.4053
6,7,132,1.6824,1.7657,0.3705,1.6992,0.4015
6,8,133,1.6641,1.852,0.3303,1.7445,0.3769
6,9,134,1.7552,2.1808,0.2679,2.2971,0.2656
6,10,135,1.812,2.3653,0.2214,2.3415,0.2551
6,11,136,1.6782,3.3869,0.255,3.499,0.2836
6,12,137,1.5729,1.8085,0.3686,1.8014,0.3923
6,13,138,1.6024,1.952,0.3266,1.9057,0.3548
6,14,139,1.6542,1.7516,0.3824,1.641,0.4199
