iteration,gradient_norm_on_full_trainset_avg,piA_I_minus_Binf_y_norm
0,0.32636000053381736,1.1849555450887874
1,0.32199123180656725,1.098626681301385
2,0.3176005366172067,1.118347000397195
3,0.31330155429338413,1.0201900734602496
4,0.3090520415625928,1.0033429034835144
5,0.3048831942473506,1.081848272969793
6,0.3008392008182733,0.9575036799246309
7,0.2968047240331029,1.0353267969944049
8,0.29282851385035613,1.0058968764688854
9,0.2888879178443574,1.0111831694797364
10,0.28503515670926177,0.9812924660680293
11,0.28126011830855235,1.037415353704453
12,0.27750283825148464,0.9828209819690918
13,0.2738316961869689,0.9450603684231623
14,0.2702406051812952,0.9336599200279089
15,0.26672417898448425,0.920265351986455
16,0.2632503774399547,0.9687873974654696
17,0.2598406653123783,0.9121539721246708
18,0.2565452107057005,0.9535468292633066
19,0.25330637218054763,0.887655974784253
20,0.2501082040042323,0.8767967069950284
21,0.2469698279251201,0.8728940404871637
22,0.2438801943599828,0.9073599581684236
23,0.2408315162586964,0.8352865606637352
24,0.2378776248739079,0.8793956625837527
25,0.23494604056360782,0.8449641236188468
26,0.23207196032106286,0.8973894551535475
27,0.22925741046878917,0.8048856249249141
28,0.22651109644649278,0.8326769595092953
29,0.2238261078243947,0.8327483635010797
30,0.22115683622425228,0.8297939865873332
31,0.21852711467681268,0.8092322494030568
32,0.2159683119499364,0.8141546181802239
33,0.2134555917226794,0.8509805736444067
34,0.21100040888371802,0.7923473653678403
35,0.20857230543765412,0.7970878790607598
36,0.20621470895280686,0.7792050589513929
37,0.20387490190274543,0.7805097477969829
38,0.20159490155114254,0.7761222548105506
39,0.199335732622288,0.814840231769588
40,0.19710480940917557,0.7692912893532193
41,0.194946449743018,0.713791723504541
42,0.19281201566314723,0.8148647475962821
43,0.19071443895176848,0.7570637886571915
44,0.18864504052386857,0.7754915457303951
45,0.18662275190720584,0.7960323622829876
46,0.18464205411244233,0.7392374675300092
47,0.1826755692528777,0.7538535601576197
48,0.1807555026397049,0.6965908504732956
49,0.17887616371311404,0.7133036290617023
50,0.17703056094995281,0.7414496655413145
51,0.17521380306911233,0.7148610222694566
52,0.17342288447616352,0.759955418417374
53,0.17165851937033855,0.7837499177675898
54,0.16993335093828973,0.6949136270869174
55,0.1682495131986162,0.7761340012796485
56,0.1666047620244678,0.7092056120203022
57,0.16496636653118033,0.6660748489592733
58,0.16334622916834482,0.7117789305750545
59,0.16176250159150002,0.7375913611502076
60,0.16020677817444168,0.7227814707233658
61,0.15865438568541762,0.6558994517360588
62,0.15715669740686838,0.668980173665423
63,0.15567483724242065,0.7484020488122853
64,0.15419566340389032,0.6722606372142869
65,0.15275466753579586,0.7295261145272895
66,0.15135978500964817,0.6891854249795102
67,0.1499685371827907,0.6984852092040025
68,0.14860345690135493,0.7175275112240189
69,0.14725606895694657,0.6437409932234759
70,0.14593037009014137,0.6569504715442724
71,0.144614580575872,0.701008604089833
72,0.14331751352384076,0.6642971544961859
73,0.14206274463459323,0.6676634258733156
74,0.14080762436032904,0.6753898936277007
75,0.13958035374231417,0.6680039008818346
76,0.13835899388377268,0.6278571592704578
77,0.13717282902508102,0.6266244766522098
78,0.13598998169651036,0.6537189646719146
79,0.1348356089701108,0.6903062192781064
80,0.13369974388194977,0.6396112488518406
81,0.13256486818934338,0.619762730575722
82,0.131457791319481,0.6598976365997056
83,0.13037672222226876,0.6333861683323618
84,0.1292990682507514,0.5869214435612568
85,0.12823222008395918,0.675761529424864
86,0.12718017765843603,0.6608567691662117
87,0.12614603489078974,0.6588688788108319
88,0.1251276576216246,0.6107627499072106
89,0.12410898799191264,0.6661130406843272
90,0.12312492364172116,0.6392418453181428
91,0.12215845036497512,0.5800709032057014
92,0.12119219979169152,0.6314108938698528
93,0.1202434860260223,0.6223291432554837
94,0.1192959056032444,0.6287258893085879
95,0.11837549423056717,0.6019988805348977
96,0.11745815058443991,0.599780278484305
97,0.1165610122752879,0.5812063402583664
98,0.11567445281290209,0.6509545663049351
99,0.11480201956261067,0.6288788850746571
100,0.11392784569710113,0.6145202036899091
101,0.11307161829377461,0.5851711862969542
102,0.11222410016564414,0.6353442023295545
103,0.11138453867220337,0.6237895298832766
104,0.11055191281881109,0.5869564444043899
105,0.10974840465231887,0.6012298027679334
106,0.10893702673104495,0.6138634210970701
107,0.10815010860309597,0.6086057097206414
108,0.10735518367505785,0.5713713788311854
109,0.1065909945812337,0.5756376931490219
110,0.10582333299550246,0.598898108101193
111,0.10505484345792504,0.6142311678863914
112,0.10431494398333459,0.6281000469366651
113,0.10357482931876968,0.596090548561698
114,0.10285489528899347,0.597526447242163
115,0.10214202961625252,0.6243899606310568
116,0.10142968101111156,0.6258807340064501
117,0.10073758156304931,0.5869793772876536
118,0.10004721777488376,0.6291498172388488
119,0.09936728963718253,0.6062929013962408
120,0.09868588428720476,0.5870653716088965
121,0.09801070317798363,0.6212097037031091
122,0.09735122952418651,0.6117399471087318
123,0.09669432128279554,0.5710123716830461
124,0.0960585242917764,0.5649159540861481
125,0.09541719507316324,0.5656117879056894
126,0.09478831868253043,0.5924579214119754
127,0.09417051744195237,0.5801439064642839
128,0.09355248887782727,0.5620499444272999
129,0.09293250067853871,0.6207800256267759
130,0.09232952040573049,0.5866979127853545
131,0.09173548699609455,0.617240329468814
132,0.09116111064455096,0.5544001693174075
133,0.09057698840852492,0.5488812641054487
134,0.08999507229775419,0.5330426555058257
135,0.0894212454613822,0.5808528800330827
136,0.0888573007278798,0.591020070771977
137,0.08829932883900567,0.5298166968218355
138,0.08773443181411866,0.5566007887264753
139,0.08718362388813493,0.5891253364418552
140,0.08664266110900432,0.6014022702963769
141,0.08610366738915812,0.5321355415380864
142,0.08557948512008706,0.624945996744104
143,0.08505147799473856,0.568557366185136
144,0.08452902701211851,0.5963008232552621
145,0.08401442689837542,0.6044108054118557
146,0.08350252293586455,0.6075428046612383
147,0.08299042524435181,0.5709404212127616
148,0.08248218556972005,0.626490157558268
149,0.08198386615854729,0.6002746132082648
150,0.08149425986069539,0.5640349597368457
151,0.0810055147050106,0.5388219748011993
152,0.08053360411702902,0.5395948710214927
153,0.08006132004081226,0.6283415375922566
154,0.07958953048842579,0.5804783805540898
155,0.07911986286943297,0.5725696892881637
156,0.07864881564172196,0.5435437554840542
157,0.07819453788167803,0.5555003094709133
158,0.07773749022249217,0.5535663812545112
159,0.07728847547626513,0.5585409002477848
160,0.07684479400295186,0.5771634439106919
161,0.07640587959339204,0.536447233239189
162,0.0759693997239504,0.5906176831273979
163,0.07553541070327718,0.5628081980739571
164,0.07510202023679065,0.5740611099374844
165,0.07468365974279374,0.5610968005887066
166,0.07426779304865883,0.5660264703319857
167,0.07385568146681132,0.519927961170058
168,0.07344236229753509,0.5588022482783219
169,0.0730303291985823,0.5549076650138884
170,0.07261851215218006,0.5540431819842931
171,0.07222206245696691,0.5518539295146949
172,0.0718217996563358,0.5490497111240586
173,0.071420505346157,0.5436948257040528
174,0.0710255640043653,0.48731565713237524
175,0.07063949120787863,0.5835168711290036
176,0.07025624034230211,0.5135653139596961
177,0.06987889713965557,0.5755380309289424
178,0.0694981485228143,0.5458679282394961
179,0.06911758603407081,0.5074719560080141
180,0.06874351641147836,0.5802320700285168
181,0.06836661785156253,0.5429795033219137
182,0.06799928703172362,0.5417496037808699
183,0.06763939877608607,0.5303670520091386
184,0.06728174276177976,0.5341720220790285
185,0.06693177809901732,0.5722791759736368
186,0.06658353633817524,0.5531475439003228
187,0.06622379546368516,0.5425893993218283
188,0.06587734123011672,0.5495355799303644
189,0.0655377974524249,0.5353643938703292
190,0.06519402049406894,0.5603691470819759
191,0.06485680058020311,0.5502368431794111
192,0.06452704087219237,0.5701322472643866
193,0.06419064259451686,0.5234147695882194
194,0.06385076020635388,0.5107424170441011
195,0.06353248993123461,0.5840939906254825
196,0.06320611481729503,0.6245726181669269
197,0.06288423177939814,0.5284910833325499
198,0.06256088738029607,0.5205662763312
199,0.062249737567538974,0.527213760464736
200,0.06194570364720471,0.534830016764389
201,0.06163032249866246,0.5281200552381374
202,0.06131517517107894,0.5590722630974392
203,0.06100743828692608,0.5253687242640733
204,0.06070046406848241,0.5299042188079086
205,0.06039818908151319,0.47215317488702224
206,0.06009748921328646,0.521912796859238
207,0.05980071180192781,0.509080169583401
208,0.05951073912870344,0.5435228921750739
209,0.059210773168967466,0.5592375378910136
210,0.058915925360385826,0.5377763002559006
211,0.058630480298581734,0.561393487178232
212,0.05834253418826779,0.5584833490987935
213,0.05805806077003541,0.6254770831943104
214,0.057777748839946644,0.5569884961809497
215,0.05749302974175161,0.5840110705055723
216,0.057211305416095204,0.5575199639888996
217,0.05693096404996112,0.5433374136999882
218,0.056656999727107735,0.5718952869640195
219,0.056381084296852214,0.5582503470280052
220,0.05610751793666333,0.5074205419596192
221,0.05584354730067155,0.4868458996880597
222,0.0555785264302898,0.5313259068915184
223,0.05532379291274235,0.5244004501214388
224,0.05505223520012181,0.5463349096453622
225,0.054794260968764205,0.5641157489705877
226,0.05453816047057227,0.5663259140343258
227,0.054279498079338226,0.5374451322500298
228,0.05402653240893398,0.5145226709679954
229,0.05376801173926767,0.5165421196358012
230,0.053519892426693326,0.48554121095106206
231,0.05327048409799382,0.5620385087978507
232,0.05303043527690397,0.5033450316359862
233,0.052786380692609006,0.49134904431461407
234,0.05254818583891676,0.4982807777687589
235,0.05230756422078253,0.5291392615152156
236,0.052071033585042524,0.5475085650595223
237,0.05183259677102958,0.568068869952113
238,0.05159349920554389,0.5282548001292415
239,0.0513630238218931,0.5507172599507189
240,0.05112905335292546,0.5352516041357156
241,0.050888117433706956,0.550916275467466
242,0.050660804957995256,0.48832841564653473
243,0.05043326368240597,0.5264844490409316
244,0.05020026298830589,0.49063181044530113
245,0.049976820204324326,0.4967534861283881
246,0.0497564756671602,0.4938159296465091
247,0.04953609413500312,0.504488261978252
248,0.04931457354805687,0.552668275670712
249,0.04909123180183618,0.5099671214799322
250,0.04887421381511031,0.49698899153206944
251,0.04865574661030695,0.516256616134138
252,0.04844044659121206,0.5209898491298157
253,0.04822600004046288,0.5201695765059406
254,0.048009957064480156,0.5262978478178998
255,0.047802689133401625,0.5170831146854165
256,0.04758830541737639,0.4797979218701494
257,0.04737994247656542,0.5605449514809382
258,0.04716837150341522,0.5117263667522401
259,0.04695830163335083,0.5154081008038285
260,0.04675598865973421,0.505452645762167
261,0.04655796633647595,0.5177896267234158
262,0.04635967320530424,0.521243316430372
263,0.04616061083860969,0.5488933031536044
264,0.045959087467959646,0.5721732193947042
265,0.04576302708187745,0.5062467936199708
266,0.04557120713062226,0.5047408578418533
267,0.04537845314043798,0.5182729925464582
268,0.045187026028322586,0.5425782690993167
269,0.04498939907025371,0.49181987405785366
270,0.044794715810354255,0.5347558165600745
271,0.04460264346815922,0.503674989135835
272,0.04441969636121423,0.5046734812261627
273,0.0442280066797352,0.5435718512895455
