iteration,gradient_norm_on_full_trainset_avg,piA_I_minus_Binf_y_norm,g_bar_norm
0,0.32743404722568537,0.025289966228913895,0.3324111266528918
1,0.3232958997211845,0.02597930127998796,0.3245901100847671
2,0.31901416051142084,0.024995266976671003,0.3271455352605836
3,0.3146501809762381,0.023198752874897144,0.31949918048742065
4,0.31041758866975383,0.023588154850191577,0.3130521367364936
5,0.30629000328945194,0.023606595844248818,0.3160222455495124
6,0.3021190970770501,0.02268506264122483,0.3121196137377683
7,0.29801613563554563,0.022652101588012202,0.3036576826215429
8,0.29403473777488376,0.023390014681289963,0.3003655725811707
9,0.29012691252763134,0.02242924992859322,0.29468362281327454
10,0.28629170073838905,0.021987690539470434,0.2879830620655177
11,0.28256711840742127,0.021478427863465592,0.28992034492809926
12,0.2788292206436706,0.02145166484343665,0.2836661857049278
13,0.27518936968326946,0.02283824328171289,0.27951123865602107
14,0.2716267993858942,0.022403989600935353,0.27397619262819256
15,0.2681315736697695,0.02177370039661241,0.2731165783763365
16,0.26467544215069083,0.020046023068310475,0.26869767490325247
17,0.2612861021198261,0.020664910045610115,0.26692455465942144
18,0.2579661921261074,0.022769716068314454,0.2627436678701073
19,0.254693847891638,0.020116073268179917,0.2565252124125588
20,0.2514931647140072,0.018163423113613963,0.2532465439071819
21,0.24839758238687018,0.020741296946746476,0.2512630074824739
22,0.2453533601812504,0.0209393356762081,0.2508688520653012
23,0.2423058490139122,0.019719826064352124,0.24827822095477767
24,0.23929849874779463,0.018963565706997067,0.24667565371309524
25,0.23636115236800004,0.019867864845621565,0.24000325507984374
26,0.23350725156243207,0.020123781347036452,0.23708177657709814
27,0.23070877774193063,0.018454814319559698,0.23814594077341197
28,0.227901043678084,0.018887776132069427,0.23341637685069308
29,0.22519071358726825,0.019654423406980582,0.23019926526787732
30,0.2225412542407022,0.01946591254565212,0.22910962952903802
31,0.21988048723949452,0.0183653693104533,0.22318628060734585
32,0.21733948590269242,0.018602613875931737,0.2213493827290352
33,0.21483507666437213,0.018979695342939532,0.21902769591296273
34,0.21237215553935843,0.01727646506405181,0.2176881357587707
35,0.20994284343865494,0.018599128509518385,0.2150239103317851
36,0.2075562621081885,0.01713617022337185,0.20930174118133865
37,0.20524882143346224,0.018739446254656844,0.2118174740393362
38,0.20295078634398803,0.018115666932336023,0.20958374035185962
39,0.20066578560701842,0.017947916191397996,0.20625754541247243
40,0.19844114886736727,0.018486022459501157,0.20458734393034442
41,0.19626263788149773,0.018114459322503124,0.2021944497580622
42,0.19411281381301956,0.016751774233280187,0.1995360180171914
43,0.1919904184518288,0.018304903764222735,0.1980333633723383
44,0.18994232456468696,0.01723740379081985,0.19765988689660557
45,0.1878910696385215,0.01796628941307677,0.1939987795732591
46,0.1858977569468967,0.017186408896893796,0.19197730584668743
47,0.1839278819203356,0.01589732917253894,0.18899901391725
48,0.18199906468838548,0.016891719611990146,0.18395800991809286
49,0.18014694791034655,0.017515193565496898,0.1826863285407255
50,0.1783283252918138,0.01730946194180718,0.18419239985021202
51,0.17650415628730748,0.01648664782730481,0.1849423946242718
52,0.17469416924053977,0.017625149565286595,0.1795855652701935
53,0.17294401250910868,0.01593931966574299,0.182818882515945
54,0.17117272486226093,0.016761068633698317,0.17272744395033174
55,0.16950658558849102,0.017398000601783693,0.17578406958419132
56,0.1678334407341388,0.016548587059565984,0.1742211541726468
57,0.16618490709586514,0.016273325989793856,0.17138031902285833
58,0.16457769412715756,0.01576715465159187,0.1726475509964532
59,0.1629518949292322,0.01552239626778314,0.17174241736154233
60,0.16136711590155095,0.01603752100336891,0.16619088258006878
61,0.15985016790688464,0.015588635457441427,0.16732175758540146
62,0.15831817377560484,0.01578338312108809,0.16358606505826848
63,0.1568378193824888,0.015254000433450788,0.1644137095930558
64,0.1553448896888996,0.01696541956212407,0.15881052096035372
65,0.15392779557771535,0.015630034550347137,0.16002157545528747
66,0.1525016994003027,0.014678718256791994,0.1603554484978777
67,0.15109395452225938,0.015249688923669161,0.15575335633600423
68,0.14973070737334304,0.015868931149714584,0.15556094212384428
69,0.1483870208031453,0.015087763105248573,0.15148328339665956
70,0.14707285838748424,0.014808856229480739,0.1553020494134763
71,0.14572806492170817,0.014787232638899094,0.15552364496443644
72,0.14440346948952337,0.014829872724276591,0.15204912047456315
73,0.14312738993329727,0.015893915580690875,0.15008709787926394
74,0.14188602983921728,0.01513261598133219,0.1494920931066364
75,0.1406406375877286,0.014496011274710851,0.1456972468176086
76,0.1394300824077575,0.014911269770405227,0.14496111339502407
77,0.1382531476852106,0.014824192349980638,0.14602637163880838
78,0.13704686175483177,0.013963721768459104,0.14514516461600444
79,0.1358773312999482,0.014808450277151834,0.1381320162384832
80,0.13475969539921895,0.015456820519601849,0.14041307227399236
81,0.13363443992790108,0.014566643407754511,0.14048595555420632
82,0.13251002518191396,0.013880233131441192,0.1399916280209648
83,0.13139653010702082,0.015323983668519614,0.13537953539549127
84,0.13035443617785283,0.015358211771584862,0.1378327348180907
85,0.1292791184260144,0.014599655867834807,0.13631568692013915
86,0.12823499300977564,0.014577172937653673,0.13207271780687568
87,0.12722689787251434,0.014526938322345228,0.1325107398826598
88,0.12620928142349125,0.014902584804877123,0.12929570627446768
89,0.12522712828180851,0.015729170202792117,0.13213848556719246
90,0.12424181220651136,0.015102801638149971,0.1301062933364672
91,0.12325871886626379,0.014631915160589409,0.1323133389060043
92,0.12225897215398751,0.014603749659601128,0.12624041917685788
93,0.12131541945124409,0.01476384255700025,0.12789756229563695
94,0.12036395882962814,0.014569410227832497,0.1299226642072187
95,0.1194075968228204,0.014102828205922239,0.12758311909667527
96,0.11847622706000875,0.014152291040623493,0.12328689206701324
97,0.11757741938160766,0.014833938683639112,0.12418640341566752
98,0.11668319813369862,0.014189488078858703,0.12449176953070211
99,0.11578644700953378,0.013244196438801401,0.12324229475437294
100,0.1149121663683369,0.01381764241497439,0.11902232323808115
101,0.11408372481154058,0.013515225549834245,0.12085574620669888
102,0.1132330294013241,0.012356291339818453,0.1192722778808184
103,0.1124016222470506,0.01459750655233645,0.11849509960809065
104,0.11158137275756386,0.014750965672361078,0.11648615333107623
105,0.110780697733485,0.014403367464268523,0.11647341379942051
106,0.10998263374381792,0.01362929225695476,0.11903668597112693
107,0.10917825384110966,0.01427390614110255,0.11923600300074652
108,0.10837150566152401,0.01373157677838105,0.11709158024252302
109,0.10758121082202576,0.014106113405027935,0.11409440461622904
110,0.10681495775179659,0.012629851367097818,0.1128053025568155
111,0.10606262307631786,0.013538251965034937,0.11268796828942833
112,0.10530863409999262,0.013226039952072093,0.11411629260430085
113,0.1045689794124947,0.014238659245835426,0.11019149304936085
114,0.10385554739181875,0.014236794043112077,0.10949096052979887
115,0.10315220829567325,0.013824698584622342,0.11353710029596795
116,0.10242354342978918,0.013145713424279129,0.11002132485522609
117,0.10171974201648526,0.013258462396175865,0.1098476703104927
118,0.10101896645043577,0.015054473508439905,0.10895446075982787
119,0.10032350665193875,0.01288181172538563,0.1070122181205582
120,0.09964909573872652,0.01307444112412412,0.1073253207973999
121,0.0989859958869212,0.014486198819622204,0.10844080568332981
122,0.09831740950799674,0.013050139252547744,0.10375792086834498
123,0.09768221966795534,0.01336675734464759,0.10571474146712072
124,0.09702327820072719,0.013264070291641294,0.10341716716045057
125,0.09638875040137673,0.014105638560462657,0.10334939753700065
126,0.09574232439651342,0.013253000293340788,0.10201169191241832
127,0.09511896424732949,0.012747321139795011,0.10311053656970756
128,0.09449469507092563,0.013580442531271966,0.10350013304729426
129,0.09387912638432795,0.012219212136043942,0.10219101782715971
130,0.09325777326123065,0.012769031277124495,0.09947846804128821
131,0.09267926204399822,0.011493010669415382,0.10541078328799773
132,0.09205441388655498,0.013480201575640099,0.09961810092684939
133,0.0914751221599762,0.012352506508010995,0.1009374993086323
134,0.0908825789446078,0.012508035949122929,0.09781685288671373
135,0.0903084326830694,0.013331991597554568,0.10260672783835312
136,0.0897127926944982,0.012114173027227646,0.09548495049657874
137,0.0891663515884072,0.012903189283975963,0.09835010085956936
138,0.08860310173568509,0.01289358455694795,0.09920706720995971
139,0.0880374148790374,0.013132340614623964,0.0969338777325641
140,0.08749648691967184,0.014124106667473837,0.09454460997918612
141,0.08695769050657051,0.012522990800544448,0.09400665915144742
142,0.08642060643964664,0.011999442352695514,0.0944103460515079
143,0.0858938541706273,0.012225475701959348,0.0952964527420965
144,0.08536096778783758,0.013404076101139731,0.0936524959729796
145,0.08485164932206073,0.013323912699238633,0.09365009322410853
146,0.08433951663938968,0.0131993303427197,0.09255047981479417
