iteration,gradient_norm_on_full_trainset_avg
0,0.32762071604158105
1,0.3231995545372784
2,0.3190066537875518
3,0.3147679960079749
4,0.3106112580872534
5,0.3064275543130134
6,0.3024144838228159
7,0.2984374831607598
8,0.29461148505687773
9,0.29080978009902636
10,0.28709390614049524
11,0.2833799112167271
12,0.27973738641862544
13,0.27620303169335714
14,0.2726424085267455
15,0.2692091130041611
16,0.26586460118715455
17,0.26255116239398973
18,0.25926448610182584
19,0.25599721899236694
20,0.2528349296623884
21,0.24974085268946689
22,0.24669241688644114
23,0.243722214038748
24,0.24075813993995135
25,0.23785097575848094
26,0.2350248591594266
27,0.23223185884975556
28,0.22948835501691475
29,0.2268182174890847
30,0.22418403424776404
31,0.22160372702922496
32,0.21907297662033592
33,0.21658887637293261
34,0.21413679329759666
35,0.2117421716272924
36,0.20939806606925968
37,0.20710419708453628
38,0.20480179018811445
39,0.20254969884835328
40,0.2003396999665253
41,0.19815652726458793
42,0.19604810222898816
43,0.19398704578389775
44,0.19191890906163195
45,0.1898782246004571
46,0.1878828490765818
47,0.1859620213418184
48,0.1840204051388415
49,0.18211445586052896
50,0.18026604735619808
51,0.17840336336660498
52,0.17661434636177503
53,0.1748490172944084
54,0.17312822111805953
55,0.17146616571849427
56,0.1697891785983467
57,0.1681303037740777
58,0.16651153530435203
59,0.16492967811681344
60,0.16338919904907856
61,0.16182564516917336
62,0.16032380852670897
63,0.1588222043824125
64,0.1573370555694979
65,0.15591310865095068
66,0.1544814558769187
67,0.15308521920887988
68,0.15172764748189776
69,0.150355846789254
70,0.14900412985725753
71,0.1476973315636434
72,0.1463962241505986
73,0.14513140913153838
74,0.1438903114028896
75,0.14268667117918754
76,0.14148486061614093
77,0.14027223365435798
78,0.1390685804465171
79,0.1379114370134397
80,0.13673827284415724
81,0.13560223471995275
82,0.13448020753792414
83,0.13339204893010215
84,0.13230683619561198
85,0.131248569611441
86,0.13019799397805518
87,0.1291660896447061
88,0.12813636507359027
89,0.12709925184705403
90,0.12610873329917477
91,0.12511790805366482
92,0.12413249177337729
93,0.12319889340433568
94,0.12226761875926806
95,0.12134969579737706
96,0.12041451270248897
97,0.11950202132929655
98,0.11860597173974688
99,0.11771294251014804
100,0.11681858105377356
101,0.11592968423386088
102,0.11507488555571847
103,0.11422505758420014
104,0.11338882084600152
105,0.11257332498173347
106,0.11176344480685652
107,0.11097055237859248
108,0.11018241545769554
109,0.10939381029858956
110,0.10861547174834693
111,0.10784161551287488
112,0.10707594058327803
113,0.1063388623378588
114,0.10557417512096783
115,0.10483797389080222
116,0.10412930427206242
117,0.10339958961282217
118,0.10268267965895098
119,0.1019815003665289
120,0.10129374681370602
121,0.10062336559071343
122,0.09997161751939805
123,0.09931341066686053
124,0.09865721991896435
125,0.09800374705651063
126,0.09735151115598381
127,0.09672467993021497
128,0.0960908119150907
129,0.09546729207958275
130,0.09482809727015859
131,0.09421279415413916
132,0.09359303360999252
133,0.09299128172828121
134,0.09239032347136489
135,0.09179181337495279
136,0.09121284133069771
137,0.09064326174430831
138,0.0900864623169634
139,0.08952400879096087
140,0.08898091354693244
141,0.08844547873980083
142,0.08790674245696227
143,0.08736158210320313
144,0.08682752153499848
145,0.08630850819788409
146,0.08579735673878086
147,0.08529405659918934
148,0.0847872415705038
149,0.08428091830054041
150,0.08377792568615512
151,0.083295344962293
152,0.08280009036404157
153,0.08231830599914296
154,0.081836137358029
155,0.08135071057356398
156,0.0808802200466611
157,0.0804070695642547
158,0.079950033354744
159,0.07948809394881191
160,0.07902066273588113
161,0.07857102159684914
162,0.07814052949062884
163,0.07767722027145951
164,0.07723799090752312
165,0.07680799401636558
166,0.07637900807161802
167,0.07594631925035591
168,0.07553548821186062
169,0.075129421511493
170,0.07473527333303084
171,0.07431195337569632
172,0.07390715227630507
173,0.07349995676639784
174,0.07311262108952787
175,0.07270889052235992
176,0.07231784508957725
177,0.07192248858246134
178,0.07153812526148823
179,0.0711541227735282
