epoch,train_loss(total),test_loss(average),test_accuracy(average),grad_norm_per_epoch,consensus_per_epoch
1,1.0322870499101178,2.3029736614227296,0.0559,0.0004157650691922754,0.07506513595581055
2,1.0321513953907737,2.301400911808014,0.0762,0.0002024800778599456,0.003317032242193818
3,1.031333302115572,2.299837760925293,0.1108,0.0001965284172911197,0.003138570347800851
4,1.0305020752651939,2.298269519805908,0.1538,0.00020543442224152386,0.0028939861804246902
5,1.029616412931475,2.2967064690589907,0.1953,0.00019894570868927985,0.0032132386695593596
6,1.0288292380242512,2.295143623352051,0.2315,0.00021212088176980615,0.003115896601229906
7,1.0279769882045944,2.2935707354545594,0.2609,0.00019700900884345174,0.0033924600575119257
8,1.027140999148632,2.2919821333885193,0.2846,0.00020895220222882926,0.003256000578403473
9,1.0263204035060158,2.2904068398475648,0.3035,0.00019658995734062046,0.003201202256605029
10,1.025457580027909,2.2888113403320314,0.3158,0.00019245823204983026,0.003219572827219963
11,1.0246206455189606,2.2872052645683287,0.3299,0.00019776629051193595,0.0032044288236647844
12,1.0236507808340007,2.2855711483955385,0.339,0.00020100237452425063,0.0031884799245744944
13,1.022934576560711,2.2839358949661257,0.3491,0.00020502900588326156,0.0032937510404735804
14,1.021978213355459,2.2822847867012026,0.3577,0.00021316327911335975,0.0032244797330349684
15,1.021038503996257,2.2805999517440796,0.366,0.00019984437676612288,0.0032801178749650717
16,1.0202819437816226,2.278903670310974,0.3735,0.00020683876937255263,0.0031821024604141712
17,1.0191917773978463,2.2771595883369447,0.3778,0.00020619861606974155,0.003458044258877635
18,1.0183476821101944,2.275390176773071,0.3811,0.00021331697644200176,0.0031937877647578716
19,1.0174393736082932,2.273608376979828,0.3843,0.0002055297518381849,0.003136303508654237
20,1.016603499137122,2.2717879724502565,0.3892,0.0002056043449556455,0.00339580443687737
21,1.015453143366452,2.2699284410476683,0.3918,0.00021284614922478795,0.003543829545378685
22,1.014585039225118,2.268029685020447,0.3953,0.000215113686863333,0.0033645464573055506
23,1.0136727891091644,2.2661004638671876,0.3984,0.0002125057071680203,0.0031948962714523077
24,1.0125295011133983,2.2641361427307127,0.3995,0.0002140299038728699,0.003227079985663295
25,1.0117409157341923,2.26212327003479,0.402,0.00022681504196953028,0.003288251580670476
26,1.0107799614297932,2.2600693345069884,0.4065,0.00021662299695890397,0.0035597006790339947
27,1.0093437731266022,2.2579514670372007,0.4086,0.00022470044496003538,0.0033603752963244915
28,1.0084052717891232,2.25577782869339,0.4103,0.00022348212951328605,0.003353160573169589
29,1.0071380662507023,2.2535333585739137,0.4121,0.00022527929104398936,0.003438454121351242
30,1.0060359773964718,2.2512369561195373,0.4141,0.00024282750382553786,0.0035160353872925043
31,1.004955494712139,2.248888821601868,0.4146,0.00023531497572548687,0.0035204552114009857
32,1.0037670212573018,2.2464474606513978,0.4148,0.00024371947802137583,0.0035451631993055344
33,1.0021886650858254,2.2439454674720762,0.4143,0.00024093870888464153,0.003681956557556987
34,1.0006354240507915,2.2413399958610536,0.4139,0.0002500952687114477,0.003568384563550353
35,0.9997619164401087,2.2386859178543093,0.4151,0.0002524741576053202,0.0036993890535086393
36,0.9982063960412453,2.2359480714797972,0.416,0.00024104340991470963,0.003635927801951766
37,0.9966650178720211,2.2331109952926638,0.4164,0.0002560045395512134,0.0038117144722491503
38,0.9952397752424766,2.230203049182892,0.4169,0.00027013602084480226,0.0036717599723488092
39,0.9941339759991087,2.227196304798126,0.4181,0.0002589596842881292,0.0036801404785364866
40,0.9922328617038398,2.2240771889686584,0.4181,0.00026770058320835233,0.003852034453302622
41,0.9907797636656925,2.2208634281158446,0.4181,0.00027267439872957766,0.004007998388260603
42,0.9890350699424744,2.2175300765037536,0.4182,0.000279395462712273,0.003821918275207281
43,0.9870366032781273,2.2140860557556152,0.4183,0.00028267261222936213,0.003627018304541707
44,0.9858991000159033,2.210532786846161,0.4182,0.00028131401631981134,0.0036637892480939627
45,0.9838203597685387,2.2068561840057375,0.4189,0.000287080358248204,0.003914899192750454
