epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
4,13,103,1.9583,1.9043,0.679,1.893,0.6855
4,14,104,1.9479,1.8999,0.6788,1.8885,0.6857
4,15,105,1.9531,1.8941,0.6804,1.8826,0.6866
4,16,106,1.9419,1.8894,0.6806,1.8777,0.6869
4,17,107,1.9315,1.8854,0.6801,1.8737,0.6864
4,18,108,1.9361,1.8808,0.6799,1.8691,0.6864
4,19,109,1.9304,1.8762,0.6805,1.8644,0.687
4,20,110,1.9246,1.8726,0.6807,1.8607,0.6873
4,21,111,1.9228,1.868,0.6814,1.856,0.6881
4,22,112,1.9208,1.8629,0.6821,1.8509,0.6889
4,23,113,1.9275,1.8572,0.6829,1.8451,0.6898
4,24,114,1.9172,1.8522,0.6832,1.8401,0.6903
4,25,115,1.8988,1.8483,0.6834,1.8361,0.6914
4,26,116,1.8925,1.843,0.6836,1.8308,0.6907
4,27,117,1.8971,1.8373,0.6843,1.825,0.6916
4,28,118,1.9008,1.832,0.6839,1.8197,0.6905
4,29,119,1.8786,1.8282,0.6847,1.8157,0.6924
4,30,120,1.8963,1.823,0.6851,1.8105,0.6925
5,1,121,1.8894,1.8173,0.6844,1.8048,0.6918
5,2,122,1.8778,1.8115,0.6846,1.799,0.6921
5,3,123,1.8727,1.8063,0.6844,1.7937,0.691
5,4,124,1.8765,1.8012,0.685,1.7885,0.6917
5,5,125,1.8704,1.7959,0.6848,1.7832,0.6917
5,6,126,1.8569,1.7902,0.6853,1.7774,0.6916
5,7,127,1.8398,1.7867,0.6857,1.7739,0.6916
5,8,128,1.8542,1.7817,0.6866,1.7688,0.6924
5,9,129,1.8462,1.7763,0.6873,1.7634,0.6941
5,10,130,1.8384,1.772,0.6878,1.7591,0.6944
5,11,131,1.8338,1.767,0.6891,1.754,0.6959
5,12,132,1.8345,1.7612,0.6895,1.7482,0.6961
5,13,133,1.8326,1.756,0.6891,1.7429,0.6956
5,14,134,1.8172,1.7535,0.6897,1.7403,0.696
5,15,135,1.8119,1.7485,0.6893,1.7354,0.6954
