epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
4,14,104,1.2402,1.0712,0.6871,1.0561,0.6912
4,15,105,1.2263,1.0638,0.6916,1.0484,0.6961
4,16,106,1.2408,1.0589,0.6929,1.0437,0.6978
4,17,107,1.2042,1.0531,0.6962,1.0383,0.7011
4,18,108,1.2172,1.0486,0.6973,1.0338,0.7029
4,19,109,1.1931,1.0436,0.7019,1.0287,0.7083
4,20,110,1.1948,1.0397,0.7046,1.0246,0.7106
4,21,111,1.1888,1.034,0.7063,1.019,0.7128
4,22,112,1.167,1.0279,0.7069,1.013,0.7133
4,23,113,1.1944,1.0212,0.7087,1.0065,0.7144
4,24,114,1.1927,1.0157,0.7076,1.001,0.7124
4,25,115,1.1501,1.0098,0.7118,0.9952,0.7165
4,26,116,1.1662,1.0053,0.7159,0.9914,0.7208
4,27,117,1.1684,0.9985,0.7237,0.9846,0.7271
4,28,118,1.1859,0.9886,0.7261,0.9745,0.7294
4,29,119,1.1709,0.9811,0.7287,0.967,0.7313
4,30,120,1.1498,0.9768,0.734,0.9629,0.7372
5,1,121,1.1617,0.9719,0.7325,0.9585,0.7357
5,2,122,1.1038,0.9675,0.7403,0.9538,0.7446
5,3,123,1.1455,0.9615,0.7429,0.9475,0.7482
5,4,124,1.1583,0.9548,0.7457,0.9408,0.7517
5,5,125,1.1332,0.9489,0.7482,0.9347,0.7542
5,6,126,1.0977,0.9418,0.75,0.928,0.756
5,7,127,1.1058,0.9372,0.7543,0.9232,0.7597
5,8,128,1.1195,0.9299,0.7578,0.916,0.7631
5,9,129,1.1093,0.9245,0.7619,0.9107,0.7669
5,10,130,1.0771,0.9194,0.7629,0.9053,0.7687
5,11,131,1.0799,0.9162,0.7654,0.9021,0.7713
5,12,132,1.0724,0.912,0.7709,0.8981,0.7768
5,13,133,1.0884,0.9067,0.7696,0.8928,0.7752
5,14,134,1.0726,0.9048,0.7745,0.8904,0.7797
5,15,135,1.057,0.8986,0.775,0.8844,0.7808
5,16,136,1.0813,0.8938,0.7776,0.8798,0.7832
5,17,137,1.0529,0.8892,0.7816,0.8757,0.7871
5,18,138,1.0283,0.8842,0.7841,0.8709,0.7896
5,19,139,1.0433,0.879,0.7879,0.8656,0.7935
5,20,140,1.0367,0.8726,0.791,0.859,0.798
5,21,141,1.0363,0.8669,0.7943,0.8535,0.8007
5,22,142,1.0383,0.8628,0.7972,0.8493,0.8038
5,23,143,1.0401,0.8558,0.7966,0.8422,0.8034
5,24,144,1.0182,0.8517,0.8016,0.8384,0.8078
5,25,145,1.0369,0.8469,0.8032,0.8333,0.8091
5,26,146,1.0253,0.8401,0.8066,0.8266,0.8134
5,27,147,1.0185,0.8346,0.8103,0.8214,0.8168
5,28,148,0.9926,0.8316,0.8138,0.8184,0.8191
5,29,149,1.0156,0.8279,0.8167,0.8146,0.8224
5,30,150,0.9657,0.8237,0.8196,0.8105,0.8246
6,1,151,0.9949,0.8202,0.8217,0.8079,0.8287
6,2,152,1.0218,0.8139,0.8234,0.8014,0.8305
6,3,153,1.0049,0.8086,0.8286,0.7962,0.8345
6,4,154,0.976,0.8049,0.8315,0.7929,0.8381
6,5,155,0.9786,0.7976,0.8361,0.7858,0.8397
6,6,156,0.9948,0.7909,0.841,0.7789,0.8436
6,7,157,0.9706,0.7857,0.8415,0.7736,0.8446
6,8,158,0.9918,0.7805,0.8432,0.768,0.8464
6,9,159,0.9251,0.7788,0.8486,0.7668,0.8523
6,10,160,0.9448,0.7743,0.8533,0.7618,0.8569
6,11,161,0.9562,0.7696,0.856,0.7573,0.8606
6,12,162,0.9109,0.7665,0.8582,0.7545,0.8637
6,13,163,0.9634,0.7612,0.859,0.7492,0.8642
6,14,164,0.9384,0.7558,0.8624,0.7438,0.8675
6,15,165,0.9306,0.7502,0.8615,0.7382,0.8681
6,16,166,0.9481,0.7462,0.8646,0.734,0.8717
6,17,167,0.9303,0.7417,0.865,0.7295,0.8716
6,18,168,0.9561,0.7373,0.8673,0.725,0.8753
6,19,169,0.9293,0.7329,0.8698,0.721,0.8776
6,20,170,0.9569,0.7307,0.8721,0.7188,0.8801
6,21,171,0.9333,0.7264,0.8749,0.7146,0.8811
6,22,172,0.9184,0.7213,0.8761,0.7094,0.8819
6,23,173,0.8943,0.7169,0.8785,0.705,0.8845
6,24,174,0.9046,0.7116,0.8789,0.6994,0.8848
6,25,175,0.9142,0.707,0.8814,0.6944,0.8863
6,26,176,0.8859,0.7028,0.8829,0.69,0.8868
6,27,177,0.896,0.7006,0.8846,0.6882,0.8901
6,28,178,0.8893,0.6953,0.8862,0.6829,0.892
6,29,179,0.8971,0.6909,0.8867,0.6785,0.8922
6,30,180,0.8703,0.6885,0.8884,0.6765,0.8941
7,1,181,0.8558,0.6869,0.8899,0.6752,0.8945
7,2,182,0.8586,0.6821,0.8896,0.6703,0.8949
7,3,183,0.8675,0.679,0.8913,0.6672,0.897
7,4,184,0.8705,0.6735,0.8922,0.6621,0.8962
7,5,185,0.8732,0.668,0.8922,0.6567,0.896
7,6,186,0.8888,0.6631,0.8941,0.6516,0.8983
7,7,187,0.8542,0.6601,0.8962,0.6494,0.9004
7,8,188,0.8652,0.656,0.8972,0.6452,0.9021
7,9,189,0.8562,0.6511,0.8998,0.6402,0.9051
7,10,190,0.8619,0.6464,0.9021,0.6357,0.9064
7,11,191,0.8483,0.6421,0.9023,0.6315,0.9061
7,12,192,0.8485,0.6375,0.904,0.6274,0.9064
7,13,193,0.8656,0.6324,0.9041,0.6226,0.9072
7,14,194,0.846,0.6265,0.9051,0.6162,0.9075
7,15,195,0.8771,0.6213,0.9056,0.611,0.9085
7,16,196,0.8224,0.6175,0.9058,0.6067,0.9084
7,17,197,0.848,0.6133,0.9068,0.6028,0.9104
7,18,198,0.8305,0.6087,0.9079,0.598,0.9099
7,19,199,0.8246,0.6035,0.9086,0.5928,0.9102
7,20,200,0.805,0.6005,0.909,0.5898,0.9109
7,21,201,0.8176,0.5965,0.9101,0.5856,0.9123
7,22,202,0.8338,0.5911,0.9097,0.5798,0.9126
7,23,203,0.8108,0.5881,0.912,0.5772,0.9139
7,24,204,0.8134,0.5843,0.9129,0.5729,0.9147
7,25,205,0.7861,0.5788,0.9122,0.5675,0.9143
7,26,206,0.7921,0.576,0.9125,0.5647,0.9153
7,27,207,0.7785,0.5713,0.9128,0.56,0.9152
7,28,208,0.7622,0.5673,0.9131,0.556,0.9149
7,29,209,0.8103,0.5642,0.9141,0.5535,0.9161
7,30,210,0.8248,0.5602,0.9156,0.5496,0.9169
8,1,211,0.7863,0.5615,0.9169,0.5511,0.9186
8,2,212,0.7818,0.555,0.9176,0.5448,0.9189
8,3,213,0.7377,0.5506,0.9183,0.5407,0.9187
8,4,214,0.7779,0.5464,0.919,0.5367,0.9184
8,5,215,0.7384,0.5414,0.9192,0.5313,0.9196
8,6,216,0.7433,0.5381,0.9198,0.5281,0.9203
8,7,217,0.7523,0.5354,0.9208,0.5259,0.9212
8,8,218,0.7549,0.5307,0.9211,0.5208,0.921
8,9,219,0.7843,0.5274,0.9211,0.5173,0.9216
8,10,220,0.779,0.5236,0.9216,0.5133,0.9218
8,11,221,0.779,0.5201,0.9224,0.5104,0.9244
8,12,222,0.7625,0.5173,0.9233,0.5078,0.9247
8,13,223,0.7539,0.5164,0.9239,0.5065,0.926
8,14,224,0.7404,0.5104,0.924,0.5012,0.9263
8,15,225,0.7437,0.5072,0.9245,0.4988,0.9262
8,16,226,0.7229,0.5027,0.925,0.4937,0.9263
8,17,227,0.726,0.4986,0.9252,0.4895,0.9268
8,18,228,0.7075,0.4964,0.9253,0.4878,0.9271
8,19,229,0.7235,0.4942,0.9263,0.4853,0.9264
8,20,230,0.7133,0.4914,0.9266,0.4822,0.9275
8,21,231,0.7149,0.4895,0.9262,0.4795,0.9276
8,22,232,0.7137,0.4859,0.9268,0.4763,0.9278
8,23,233,0.7408,0.4829,0.9272,0.473,0.9284
8,24,234,0.7083,0.4814,0.9266,0.4708,0.9288
8,25,235,0.698,0.4781,0.9272,0.4678,0.9285
8,26,236,0.7228,0.4744,0.928,0.4645,0.9287
8,27,237,0.7145,0.4713,0.9278,0.461,0.9282
8,28,238,0.6915,0.4678,0.9278,0.458,0.929
8,29,239,0.7177,0.4651,0.928,0.4554,0.93
8,30,240,0.7716,0.4628,0.9283,0.4536,0.9302
9,1,241,0.695,0.4601,0.9278,0.4508,0.9298
9,2,242,0.6794,0.4581,0.9277,0.4485,0.9307
9,3,243,0.7156,0.455,0.9277,0.4453,0.9305
9,4,244,0.6797,0.4529,0.9284,0.4436,0.932
9,5,245,0.6717,0.4494,0.9289,0.4406,0.9322
9,6,246,0.6968,0.4473,0.9289,0.4384,0.932
9,7,247,0.6989,0.4456,0.929,0.4361,0.9318
9,8,248,0.6436,0.4417,0.9304,0.4325,0.9324
9,9,249,0.672,0.4391,0.931,0.43,0.9332
9,10,250,0.7033,0.4362,0.9308,0.4272,0.9331
9,11,251,0.6714,0.4332,0.9304,0.4244,0.9338
9,12,252,0.6867,0.4316,0.9303,0.4229,0.9345
9,13,253,0.689,0.4287,0.9304,0.4194,0.9328
9,14,254,0.6798,0.4257,0.9305,0.4163,0.9337
9,15,255,0.6925,0.4228,0.9314,0.4141,0.9344
9,16,256,0.6556,0.4207,0.9313,0.4117,0.9343
9,17,257,0.6708,0.4177,0.9315,0.409,0.9346
9,18,258,0.6369,0.4152,0.9323,0.4063,0.9351
9,19,259,0.6363,0.4134,0.9325,0.4045,0.9348
9,20,260,0.6773,0.4114,0.9324,0.4027,0.9355
9,21,261,0.6719,0.4108,0.9328,0.4023,0.9358
9,22,262,0.6568,0.4068,0.9331,0.3983,0.9363
9,23,263,0.6664,0.4052,0.9336,0.3969,0.9366
9,24,264,0.6529,0.403,0.9343,0.3944,0.9373
9,25,265,0.6798,0.4007,0.9338,0.3922,0.937
9,26,266,0.6622,0.3985,0.9336,0.3902,0.9361
9,27,267,0.6442,0.3957,0.9336,0.3876,0.9364
9,28,268,0.6353,0.3938,0.9336,0.3855,0.9364
9,29,269,0.6302,0.3909,0.9344,0.3825,0.937
9,30,270,0.6418,0.3895,0.9335,0.3816,0.9356
10,1,271,0.6414,0.3908,0.9332,0.3832,0.9354
10,2,272,0.6172,0.3871,0.934,0.3792,0.9355
10,3,273,0.6543,0.3838,0.9343,0.3766,0.9371
10,4,274,0.6184,0.3812,0.9347,0.374,0.9369
10,5,275,0.6114,0.38,0.9351,0.3728,0.937
10,6,276,0.6271,0.3786,0.9356,0.3717,0.9371
10,7,277,0.6368,0.3769,0.9362,0.3699,0.9365
10,8,278,0.6505,0.375,0.9352,0.3681,0.9369
10,9,279,0.6331,0.3721,0.936,0.3649,0.9383
10,10,280,0.6155,0.371,0.9359,0.3644,0.9387
10,11,281,0.6245,0.37,0.9361,0.3635,0.9385
10,12,282,0.6178,0.3673,0.9365,0.3609,0.9392
10,13,283,0.6156,0.365,0.9364,0.3583,0.9384
10,14,284,0.6033,0.363,0.9366,0.3568,0.9391
10,15,285,0.6054,0.3604,0.9371,0.3545,0.939
10,16,286,0.6209,0.358,0.9372,0.3519,0.9392
10,17,287,0.6314,0.3563,0.9373,0.3506,0.9389
10,18,288,0.6219,0.3548,0.9374,0.3494,0.9403
10,19,289,0.6177,0.3527,0.9375,0.3469,0.9396
10,20,290,0.6284,0.3516,0.9376,0.3457,0.9401
10,21,291,0.6104,0.35,0.9378,0.3439,0.9409
10,22,292,0.6113,0.348,0.9379,0.3419,0.9403
10,23,293,0.5971,0.3462,0.9386,0.3401,0.941
10,24,294,0.5682,0.345,0.9388,0.3387,0.9405
10,25,295,0.629,0.3442,0.9388,0.3378,0.9412
10,26,296,0.6021,0.3428,0.9393,0.337,0.9408
10,27,297,0.593,0.3411,0.9394,0.3354,0.9418
10,28,298,0.5942,0.3393,0.9398,0.3331,0.942
10,29,299,0.5867,0.338,0.9396,0.3323,0.9421
10,30,300,0.6442,0.3371,0.9393,0.3316,0.9423
