epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
1,1,1,2.3311,2.3034,0.0903,2.3035,0.0892
1,2,2,2.3146,2.3033,0.0903,2.3034,0.0892
1,3,3,2.2996,2.3032,0.0903,2.3034,0.0892
1,4,4,2.2868,2.3032,0.0903,2.3033,0.0892
1,5,5,2.2761,2.303,0.0903,2.3032,0.0892
1,6,6,2.2628,2.3029,0.0903,2.303,0.0892
1,7,7,2.2499,2.3027,0.0903,2.3028,0.0892
1,8,8,2.2344,2.3025,0.0903,2.3026,0.0892
1,9,9,2.2238,2.3021,0.0903,2.3022,0.0892
1,10,10,2.2083,2.3017,0.0903,2.3018,0.0892
1,11,11,2.1887,2.3011,0.0903,2.3012,0.0892
1,12,12,2.1839,2.3004,0.0903,2.3005,0.0892
1,13,13,2.1626,2.2995,0.0903,2.2995,0.0892
1,14,14,2.1522,2.2983,0.0908,2.2983,0.0898
1,15,15,2.1401,2.2968,0.0932,2.2968,0.0925
1,16,16,2.1156,2.2949,0.1089,2.2948,0.1092
1,17,17,2.1101,2.2925,0.1338,2.2923,0.1342
1,18,18,2.0889,2.2896,0.198,2.2894,0.2012
1,19,19,2.0848,2.286,0.2604,2.2857,0.2666
1,20,20,2.061,2.2816,0.3122,2.2813,0.3167
1,21,21,2.0537,2.2762,0.367,2.2758,0.3734
1,22,22,2.0192,2.2695,0.4407,2.2689,0.4478
1,23,23,2.0207,2.2614,0.5105,2.2607,0.5197
1,24,24,1.9916,2.2523,0.5709,2.2514,0.5833
1,25,25,1.9891,2.2409,0.6227,2.2398,0.6343
1,26,26,1.9681,2.2275,0.6601,2.2262,0.6709
1,27,27,1.9616,2.2132,0.6866,2.2116,0.6977
1,28,28,1.9392,2.1966,0.7004,2.1947,0.7126
1,29,29,1.9301,2.178,0.7033,2.1757,0.7162
1,30,30,1.917,2.1583,0.7011,2.1556,0.7145
2,1,31,1.9051,2.1356,0.699,2.1326,0.7104
2,2,32,1.8723,2.1124,0.6969,2.1089,0.709
2,3,33,1.8522,2.0864,0.6921,2.0824,0.7022
2,4,34,1.8323,2.0599,0.6882,2.0555,0.6982
2,5,35,1.8433,2.0319,0.6854,2.027,0.6943
2,6,36,1.8246,2.0027,0.6846,1.9973,0.6917
2,7,37,1.8081,1.9739,0.6834,1.968,0.6898
2,8,38,1.8073,1.9451,0.682,1.9386,0.6883
2,9,39,1.7945,1.915,0.68,1.9081,0.684
2,10,40,1.7619,1.8862,0.6818,1.8788,0.6862
2,11,41,1.7467,1.8572,0.6823,1.8491,0.6861
2,12,42,1.7359,1.825,0.6802,1.8163,0.6857
2,13,43,1.7294,1.7957,0.6807,1.7866,0.6863
2,14,44,1.7213,1.7673,0.6824,1.7577,0.6872
2,15,45,1.7189,1.7395,0.6812,1.7295,0.686
