epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
4,14,104,0.9254,0.7167,0.8396,0.703,0.845
4,15,105,0.908,0.7087,0.8418,0.6953,0.8464
4,16,106,0.9388,0.7036,0.8426,0.6902,0.8478
4,17,107,0.8902,0.6988,0.8472,0.6859,0.8529
4,18,108,0.9202,0.6932,0.8489,0.6803,0.854
4,19,109,0.8954,0.6873,0.8512,0.6747,0.8557
4,20,110,0.8982,0.6825,0.8547,0.6699,0.8594
4,21,111,0.885,0.6763,0.8569,0.6633,0.8605
4,22,112,0.876,0.669,0.8564,0.6561,0.8605
4,23,113,0.8864,0.6649,0.8565,0.6516,0.8611
4,24,114,0.8806,0.66,0.8597,0.6467,0.864
4,25,115,0.8364,0.6536,0.8648,0.6404,0.8678
4,26,116,0.8548,0.6487,0.8656,0.6357,0.8699
4,27,117,0.88,0.6427,0.8668,0.6297,0.8705
4,28,118,0.8816,0.6361,0.8685,0.623,0.8726
4,29,119,0.8326,0.6309,0.8746,0.6186,0.8775
4,30,120,0.8747,0.6273,0.8772,0.6155,0.8794
5,1,121,0.8489,0.6221,0.88,0.6108,0.882
5,2,122,0.8249,0.6142,0.8802,0.6026,0.8816
5,3,123,0.834,0.6102,0.8818,0.5981,0.8844
5,4,124,0.8522,0.6064,0.8834,0.594,0.8858
5,5,125,0.8281,0.5994,0.886,0.5868,0.8892
5,6,126,0.8073,0.5936,0.8863,0.5807,0.889
5,7,127,0.8101,0.5898,0.8877,0.5776,0.8887
5,8,128,0.7909,0.5853,0.8869,0.5736,0.8884
5,9,129,0.7892,0.5826,0.8931,0.5713,0.8964
5,10,130,0.7978,0.5749,0.8948,0.5629,0.8991
5,11,131,0.7851,0.5721,0.8948,0.5609,0.8979
5,12,132,0.7844,0.5676,0.8985,0.5557,0.9017
5,13,133,0.8058,0.5603,0.8996,0.5484,0.9027
5,14,134,0.7921,0.5566,0.9041,0.5448,0.9054
5,15,135,0.7672,0.5505,0.9052,0.539,0.9055
5,16,136,0.8041,0.5457,0.9055,0.5342,0.9078
5,17,137,0.7653,0.5419,0.9059,0.5311,0.9092
5,18,138,0.7521,0.5389,0.9065,0.5281,0.9103
5,19,139,0.7855,0.534,0.9107,0.5226,0.9135
5,20,140,0.7599,0.5284,0.9117,0.5163,0.9131
5,21,141,0.7395,0.5241,0.9121,0.5122,0.9143
5,22,142,0.7789,0.5183,0.9125,0.506,0.9153
5,23,143,0.7569,0.5147,0.9139,0.5025,0.9168
5,24,144,0.7598,0.51,0.9152,0.4982,0.9175
5,25,145,0.7712,0.5059,0.9159,0.494,0.9179
5,26,146,0.7259,0.5007,0.918,0.4897,0.9203
5,27,147,0.743,0.497,0.9191,0.4862,0.9201
5,28,148,0.7144,0.4926,0.9186,0.4815,0.9202
5,29,149,0.7531,0.4895,0.919,0.4782,0.9203
5,30,150,0.7501,0.4857,0.9198,0.4742,0.9218
6,1,151,0.735,0.4893,0.9185,0.4786,0.922
6,2,152,0.7389,0.484,0.9205,0.4733,0.9224
6,3,153,0.7287,0.4802,0.9224,0.4694,0.9239
6,4,154,0.6842,0.476,0.9233,0.4652,0.9251
6,5,155,0.7306,0.4705,0.924,0.4598,0.9253
6,6,156,0.725,0.465,0.9246,0.454,0.9273
6,7,157,0.6826,0.4621,0.9241,0.4504,0.9272
6,8,158,0.6923,0.4566,0.925,0.4457,0.9264
6,9,159,0.6547,0.4529,0.9259,0.4415,0.929
6,10,160,0.6822,0.4478,0.9265,0.4359,0.929
6,11,161,0.7004,0.4455,0.927,0.4341,0.9289
6,12,162,0.6559,0.4441,0.9279,0.4339,0.9301
6,13,163,0.6818,0.4391,0.9284,0.4296,0.9301
6,14,164,0.6895,0.4342,0.9292,0.4245,0.9311
6,15,165,0.6548,0.431,0.9296,0.4215,0.9329
6,16,166,0.6816,0.4287,0.9301,0.4195,0.9332
6,17,167,0.6804,0.4246,0.9307,0.4149,0.9331
6,18,168,0.6819,0.4216,0.9307,0.4126,0.9328
6,19,169,0.6672,0.4194,0.9305,0.4114,0.9316
6,20,170,0.7036,0.4182,0.9314,0.4088,0.9336
6,21,171,0.6803,0.414,0.9316,0.4058,0.9335
6,22,172,0.6522,0.4098,0.9316,0.4013,0.9345
6,23,173,0.6334,0.4073,0.9316,0.398,0.9344
6,24,174,0.6497,0.405,0.9322,0.3953,0.9352
6,25,175,0.6527,0.4031,0.9324,0.3935,0.9346
6,26,176,0.6286,0.4015,0.9322,0.3907,0.9361
6,27,177,0.633,0.3994,0.9326,0.389,0.9355
6,28,178,0.6331,0.3964,0.9335,0.3869,0.9365
6,29,179,0.6756,0.3921,0.9324,0.383,0.9362
6,30,180,0.6515,0.3908,0.933,0.3817,0.9354
7,1,181,0.6237,0.3933,0.9321,0.3852,0.9348
7,2,182,0.6454,0.3886,0.9325,0.3798,0.9355
7,3,183,0.6522,0.3861,0.9329,0.3777,0.9354
7,4,184,0.6257,0.3823,0.9339,0.3745,0.9363
7,5,185,0.617,0.3767,0.9341,0.3685,0.9354
7,6,186,0.6246,0.3739,0.9354,0.3659,0.9371
7,7,187,0.6403,0.3726,0.9355,0.3656,0.938
