epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
4,14,104,1.0679,0.8859,0.8385,0.8721,0.8415
4,15,105,1.054,0.8805,0.8412,0.8666,0.8452
4,16,106,1.0766,0.8738,0.8426,0.8598,0.8458
4,17,107,1.0472,0.8701,0.8438,0.8565,0.8469
4,18,108,1.0579,0.8636,0.8482,0.8495,0.8515
4,19,109,1.0432,0.8557,0.8504,0.8416,0.8527
4,20,110,1.0318,0.85,0.8542,0.8356,0.858
4,21,111,1.018,0.8435,0.8569,0.8291,0.8596
4,22,112,1.0075,0.8349,0.8572,0.8203,0.8602
4,23,113,1.0444,0.8295,0.8583,0.815,0.8611
4,24,114,1.0166,0.8244,0.8605,0.8103,0.8633
4,25,115,0.9819,0.8176,0.8628,0.8036,0.8664
4,26,116,0.9845,0.8123,0.8646,0.7984,0.8681
4,27,117,1.0043,0.8063,0.8674,0.7924,0.8708
4,28,118,1.0158,0.7985,0.8686,0.7843,0.871
4,29,119,1.0033,0.794,0.8716,0.7803,0.8746
4,30,120,1.0165,0.7891,0.8742,0.7759,0.8774
5,1,121,0.9776,0.7851,0.8745,0.7716,0.8771
5,2,122,0.9455,0.7788,0.8766,0.7654,0.8805
5,3,123,0.9734,0.7733,0.8775,0.7598,0.8803
5,4,124,0.9733,0.7659,0.8787,0.752,0.8809
5,5,125,0.9556,0.7612,0.8807,0.7472,0.884
5,6,126,0.9411,0.7528,0.8834,0.739,0.8868
5,7,127,0.9463,0.7462,0.8859,0.7328,0.8882
5,8,128,0.949,0.7392,0.8867,0.7254,0.89
5,9,129,0.9186,0.734,0.8876,0.7202,0.891
5,10,130,0.913,0.7288,0.8876,0.7145,0.8911
5,11,131,0.9259,0.7229,0.8895,0.7087,0.8933
5,12,132,0.9209,0.7177,0.8914,0.7037,0.8956
5,13,133,0.9462,0.7112,0.8914,0.6969,0.8941
5,14,134,0.9289,0.7082,0.8927,0.6936,0.8964
5,15,135,0.89,0.7021,0.8946,0.6881,0.8996
5,16,136,0.9038,0.6971,0.8961,0.6828,0.9003
5,17,137,0.8696,0.6931,0.8972,0.6789,0.9023
5,18,138,0.8807,0.6893,0.8973,0.6748,0.9015
5,19,139,0.8992,0.6823,0.8995,0.6679,0.9027
5,20,140,0.8895,0.6783,0.8987,0.6637,0.9037
5,21,141,0.879,0.6719,0.8996,0.6573,0.9035
5,22,142,0.8902,0.6661,0.9023,0.6517,0.9051
5,23,143,0.8667,0.6595,0.9021,0.6452,0.9054
5,24,144,0.867,0.6563,0.903,0.6424,0.9066
5,25,145,0.885,0.6509,0.9043,0.637,0.9056
5,26,146,0.8605,0.6469,0.9056,0.6333,0.9072
5,27,147,0.8553,0.6421,0.9063,0.6291,0.9062
5,28,148,0.8551,0.6377,0.907,0.6243,0.9079
5,29,149,0.8652,0.6328,0.908,0.6189,0.9096
5,30,150,0.8483,0.6282,0.9088,0.614,0.9098
6,1,151,0.8447,0.6263,0.9082,0.6123,0.9092
6,2,152,0.8616,0.6204,0.9091,0.6063,0.9106
6,3,153,0.8381,0.6153,0.9108,0.6009,0.9116
6,4,154,0.8176,0.6126,0.9112,0.5987,0.9115
6,5,155,0.8214,0.6079,0.9115,0.5939,0.9111
6,6,156,0.8303,0.6034,0.9115,0.5891,0.9121
6,7,157,0.8091,0.5993,0.9122,0.5852,0.9129
6,8,158,0.8153,0.5942,0.9131,0.5805,0.913
6,9,159,0.7753,0.5888,0.9144,0.5755,0.9141
6,10,160,0.7697,0.5857,0.915,0.5719,0.9155
6,11,161,0.8029,0.5795,0.9157,0.5662,0.9169
6,12,162,0.775,0.5761,0.9167,0.5634,0.9169
6,13,163,0.8007,0.5722,0.9166,0.5596,0.9173
6,14,164,0.7646,0.5676,0.9178,0.5547,0.9179
6,15,165,0.7813,0.563,0.9174,0.5503,0.918
6,16,166,0.7849,0.5585,0.9185,0.546,0.9193
