,gradient_norm_on_full_trainset
0,0.3300598842527977
1,0.327529755579403
2,0.3247737967621678
3,0.3220244516462705
4,0.31953362802564284
5,0.31702014305578236
6,0.314603872468597
7,0.3121726664175237
8,0.3099586306771728
9,0.3075632803385163
10,0.3053782599335404
11,0.30306423579980735
12,0.3009871193766642
13,0.2986439865861423
14,0.2964469753714276
15,0.2942757793392775
16,0.29212626050383306
17,0.2898245021227971
18,0.28762541324546476
19,0.28535433396032855
20,0.28332191648406535
21,0.28127488139376616
22,0.2791376330518361
23,0.27701633144414506
24,0.2749561035595702
25,0.27289656575459587
26,0.2709207533354462
27,0.2688650848161137
28,0.2670093129679185
29,0.2649812488916659
30,0.26310015780969925
31,0.261189445304982
32,0.25926353921389095
33,0.25749850786602907
34,0.2555753777448
35,0.2536892481944078
36,0.25180525999710174
37,0.25003581770151173
38,0.24822775213454365
39,0.24644810336465472
40,0.2448199794435877
41,0.2431115872369394
42,0.2413339850776358
43,0.23961664492761622
44,0.23794825352015075
45,0.23623619677102212
46,0.23468221414550686
47,0.23312646994758168
48,0.23151482173230123
49,0.2299890477545197
50,0.22842073772341637
51,0.22682926051002278
52,0.22524534086377668
53,0.22366948233390715
54,0.2222168746468892
55,0.22081391827114658
56,0.21941398389462796
57,0.2180128793611401
58,0.21661924897276244
59,0.21521818705315682
60,0.21374452108848543
61,0.21241286700531503
62,0.21107665136103548
63,0.2096047948613875
64,0.20816561226716027
65,0.20690525928468295
66,0.20556315337982897
67,0.2042301720520465
68,0.20293329172639862
69,0.2017364458666759
70,0.2004761496152047
71,0.19918750108271996
72,0.19790984343786602
73,0.19663781992946433
74,0.19532973224447275
75,0.1940773473605162
76,0.19294083725210406
77,0.191747838141201
78,0.19055475091276097
79,0.18932751654191535
80,0.18812701476851607
81,0.18699865369886765
82,0.18595376678959882
83,0.1848407236181987
84,0.18371300790337847
85,0.18256536186217678
86,0.18152483776030015
87,0.18044367764279043
88,0.17933366975165926
89,0.178296925129674
90,0.1772638875056809
91,0.17626077200833606
92,0.1752259274557965
93,0.1742326902522598
94,0.17315934649610334
95,0.17227234043890055
96,0.1712895672907347
97,0.17028078361075666
98,0.16931364248402034
99,0.1682999279047736
100,0.16737727658740448
101,0.16646965957563392
102,0.16554972187661268
103,0.1646228340761268
104,0.163696389217292
105,0.16279312333496976
106,0.16185178823568008
107,0.16102866484103903
108,0.1602238496210569
109,0.15932163120395124
110,0.15839386821955068
111,0.15754132626148595
112,0.1566415471267631
113,0.1557857756786463
114,0.1549803073646984
115,0.15417625052889045
116,0.1533850231836006
117,0.15252304206203804
118,0.15169869819517823
119,0.15087839134642783
120,0.15007923754905836
121,0.1492778916234651
122,0.14848171781731823
123,0.14765722974853368
124,0.146859069254295
125,0.14612067741320925
126,0.1454031762944837
127,0.14464615190573343
128,0.14396792820189272
129,0.14318770081471963
130,0.14247879849383363
131,0.14169413362780725
132,0.1410334160937783
133,0.14032100890462426
134,0.1396244045502678
135,0.13902267224410184
136,0.1383461903716582
137,0.1377291936903828
138,0.13706263321109327
139,0.13637850330871193
140,0.13568213595115236
141,0.13506228679319568
142,0.13438341553297664
143,0.13379953755612656
144,0.1332259189522666
145,0.13255428260833843
146,0.13194221097774347
147,0.13134101008890567
148,0.1307257558146593
149,0.13012174824508857
150,0.1295442290806244
151,0.12893177409485074
152,0.1283183811599964
153,0.12774101034435412
154,0.12718918358774672
155,0.12656368404373353
