epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,1.4558830271507133,2.276210741996765,0.1626
2,1.4410671041957264,2.2553629994392397,0.2428
3,1.4255422584969422,2.233898766040802,0.2979
4,1.4098906373155529,2.2113992977142334,0.3458
5,1.3938537260581707,2.1873818492889403,0.386
6,1.3763133102449878,2.1615495586395266,0.4131
7,1.3573665076802517,2.133456835746765,0.4367
8,1.3375700488686562,2.1026853489875794,0.4584
9,1.3150092067903485,2.0688230979442594,0.4794
10,1.292064179377309,2.0314621353149414,0.5018
11,1.264923253192984,1.9905685007572174,0.5212
12,1.2366375119007866,1.945812805891037,0.5437
13,1.2056323279594552,1.8969471669197082,0.5608
14,1.1729717737641827,1.8443627917766572,0.5808
15,1.1380896722448284,1.7877579700946808,0.6011
16,1.099139406763274,1.7273525547981263,0.6172
17,1.0612145533849453,1.6640259087085725,0.6347
18,1.019276572969453,1.5986167764663697,0.6507
19,0.9770175084985536,1.5312533211708068,0.667
20,0.9354769569532625,1.4640374445915223,0.6826
21,0.8939667541919083,1.3972865700721742,0.6952
22,0.8521275291668957,1.3317481261491775,0.7077
23,0.8119939103208739,1.2683498167991638,0.7162
24,0.7746474187949608,1.207213555574417,0.7295
25,0.7351847564608887,1.14965052485466,0.7403
26,0.7011717505239207,1.0957964169979095,0.75
27,0.6706406253165212,1.0452823448181152,0.7592
28,0.6397349410529795,0.9983930313587188,0.7673
29,0.6131929705112145,0.9550682193040848,0.7783
30,0.5878261819738766,0.9151889941096306,0.7866
31,0.5632544132912981,0.8789396980404853,0.7938
32,0.5430364906787872,0.8457048115134239,0.8002
33,0.521522388504497,0.8149696579575538,0.8072
34,0.5028839667552504,0.7870373553037644,0.812
35,0.48907659356964045,0.7606991049647331,0.8204
36,0.47305176741090316,0.7369174087047576,0.8267
37,0.4579383022440919,0.7150225418806077,0.8303
38,0.44340579976038685,0.6949812433123589,0.8323
39,0.43173607252538204,0.676127454340458,0.8348
40,0.42160010125873415,0.6586263343691826,0.8393
41,0.41054432864846857,0.642534862458706,0.8422
42,0.39899491871996173,0.626963302642107,0.8459
43,0.39018799306760577,0.6129009975492954,0.8484
44,0.3829371763457512,0.600153067857027,0.8515
45,0.3765737023204565,0.5876062075793743,0.8553
46,0.3679177209349542,0.5762773291766643,0.8568
47,0.36190576054926576,0.5655432805418968,0.8592
48,0.3544992305466841,0.5549669978022576,0.8629
