epoch,train_loss(total),test_loss(average),test_accuracy(average),grad_norm_per_epoch
71,0.694948234872238,0.886318545639515,0.7096,0.001647692988626659
72,0.6901100056396948,0.8798529714345932,0.7128,0.0018949370132759213
73,0.685429010741614,0.8734352833032608,0.7154,0.001817721757106483
74,0.6807858637861304,0.8671133932471276,0.718,0.0021087343338876963
75,0.6763427313920614,0.8609687775373459,0.7205,0.0025571396108716726
76,0.672134135421869,0.8551275205612182,0.7225,0.0016588846920058131
77,0.6677056190532606,0.8491414830088615,0.7257,0.0015403368743136525
78,0.6633559433189599,0.8433778801560402,0.728,0.0014138823607936502
79,0.6592595192628938,0.8378367069363594,0.73,0.001445784349925816
80,0.6551679640605643,0.8323482000827789,0.7321,0.001753519638441503
81,0.6510477604696879,0.8269705420732498,0.7341,0.0017972468631342053
82,0.6473310912984449,0.8215376549959182,0.7361,0.001650165650062263
83,0.6435667070988063,0.8162904259562492,0.7382,0.0018294017063453794
84,0.6397189010639448,0.8111740183830262,0.7401,0.001658731373026967
85,0.6359980546340749,0.8060492917895317,0.7422,0.0018270497675985098
86,0.6325024866775887,0.8012430235743523,0.7443,0.0016153858741745353
87,0.6287443421378329,0.7963261628150939,0.7455,0.002045648405328393
88,0.6251463497409949,0.7915698006749153,0.7473,0.001677400665357709
89,0.6217992326899154,0.7870374310016632,0.749,0.0016511189751327038
90,0.6185778850639189,0.7823757293820381,0.7515,0.00150155124720186
91,0.6152011622246858,0.7778349488973617,0.7535,0.00150644825771451
92,0.6119220626313944,0.77335623472929,0.7548,0.0017583959270268679
93,0.6084823537919972,0.769036375284195,0.7569,0.0013480378547683358
94,0.6056205294019467,0.7648096624016761,0.7584,0.00144211295992136
95,0.6023902232582504,0.7606716415286064,0.7597,0.0022608707658946514
96,0.5992294908375353,0.756475687623024,0.761,0.002036872785538435
97,0.5964235898006607,0.7524613288044929,0.7626,0.0016669032629579306
98,0.593372752436915,0.7484461858868598,0.7643,0.0014166199835017323
99,0.5904701014829649,0.7444445726275444,0.7657,0.0016037099994719028
100,0.5876143217288159,0.7407495483756066,0.7674,0.0014262866461649537
101,0.5847678391917331,0.7367911720275879,0.769,0.001445331028662622
102,0.5820936109568622,0.7330890733003617,0.7701,0.0015591690316796303
103,0.5793101767430434,0.7294901207089424,0.7705,0.0013062849175184965
104,0.5765803802657772,0.7259233632683754,0.7715,0.0013562022941187024
105,0.5741134918219334,0.7223421986401081,0.7733,0.0015974226407706738
106,0.5713420195152631,0.7189571966230869,0.7744,0.0016456450102850795
107,0.5688433825365595,0.7153359065949917,0.7757,0.0015966987702995539
108,0.5662690646745063,0.7120373843610287,0.7774,0.0014296210138127208
109,0.5639293402232028,0.7087484696507453,0.7794,0.002125062746927142
110,0.561430566516277,0.7055056388676166,0.7806,0.0015391218475997448
111,0.5589559911876112,0.7022239938378334,0.7817,0.0012604790972545743
112,0.5565607391700551,0.699010289311409,0.7826,0.0016802980098873377
113,0.5543238300125342,0.6959609442949295,0.7833,0.0017567179165780544
114,0.551906506656795,0.6928312876820564,0.7842,0.0016260695410892367
115,0.5496141954853728,0.689688026458025,0.7849,0.00130779470782727
116,0.5475216377023104,0.6868158580362796,0.7863,0.001317894901148975
117,0.5453331054666558,0.6838763207197189,0.7871,0.0016709615010768175
118,0.5431759828651274,0.6809334129095077,0.7884,0.0015818561660125852
119,0.5408225277992519,0.6779138493537903,0.7895,0.0015453747473657131
120,0.5387537775410188,0.6750076730549336,0.7909,0.0015562225598841906
121,0.5366376272931292,0.6722345653176308,0.7913,0.0013971711741760373
122,0.5346868156984046,0.6694742467999458,0.7919,0.0013463853392750025
123,0.5325683299955484,0.6668305793404579,0.793,0.0015426543541252613
124,0.530601514050284,0.664154754281044,0.7941,0.0014770408160984516
125,0.5285659640826084,0.6615137568116188,0.7952,0.0014428438153117895
126,0.5267050722362222,0.658864821344614,0.7956,0.0013514456804841757
127,0.5246785501571926,0.6562890937924385,0.7968,0.0016663147835060954
128,0.5226962558321051,0.6536981925368309,0.7977,0.0014980464475229383
129,0.5209778765770229,0.6512411956489086,0.7983,0.0013425906654447317
130,0.5191010545838524,0.6488063558936119,0.7988,0.0017463366966694593
131,0.5170463644773573,0.6464141283929348,0.7997,0.0013859599130228162
132,0.5154711253739692,0.6439994436502456,0.8007,0.0015849174233153462
133,0.5136043905607752,0.641529450416565,0.8012,0.0016028108075261116
134,0.5118521178090895,0.6392404878139496,0.802,0.001716656144708395
135,0.5101212317476401,0.636871170848608,0.8024,0.0015115938149392605
136,0.50842561854704,0.6345495836436749,0.8029,0.0017454026965424418
137,0.5066592077145705,0.6323615856468677,0.8033,0.0019416938303038478
138,0.5050168275027662,0.6301197694242,0.8041,0.0012855519307777286
139,0.5033115237145811,0.6279289785027504,0.805,0.0017062982078641653
140,0.5016888912666488,0.6257931371033192,0.8058,0.0012095023412257433
141,0.5001476897379836,0.6236050069332123,0.8066,0.0012679961510002613
142,0.49838656277672666,0.6214506714046002,0.8073,0.0014086783630773425
143,0.49691374610001976,0.6194350849092006,0.8075,0.0009963202755898237
144,0.49518332137046633,0.6172189903259278,0.8085,0.0015996914589777589
145,0.4936197715232501,0.615164880156517,0.8093,0.001935278531163931
146,0.4921541888568852,0.6130987180769444,0.8101,0.001527496613562107
147,0.49068081086954557,0.611165402829647,0.8109,0.0013589265290647745
148,0.489213309880044,0.6091726604104042,0.8118,0.001334196189418435
149,0.48771532312841026,0.6072057192027569,0.8124,0.0015661146026104689
150,0.4861706481189341,0.6052176350355148,0.8125,0.0016152162570506334
151,0.48479011956904383,0.6032905767858029,0.8131,0.0012975588906556368
152,0.48339188773487063,0.6015303803980351,0.8137,0.001888637780211866
153,0.4818711916135775,0.5995945109426976,0.8145,0.0017058305675163865
154,0.4805603385777087,0.5977021145820618,0.8149,0.0016565358964726329
155,0.47899663629564077,0.5959131394326687,0.8155,0.0016980641521513462
156,0.4776305821094964,0.5940749137103558,0.8163,0.0016493105795234442
157,0.47626640798675046,0.592277926504612,0.8167,0.0014913476770743728
158,0.47487357419890325,0.5905906191468239,0.8172,0.001513942494057119
159,0.4735859462336914,0.588831651955843,0.8177,0.0012403971049934626
160,0.47235260199050644,0.5871108654141426,0.818,0.0015643631340935826
161,0.470955388570154,0.5853633126616478,0.8186,0.001468739821575582
162,0.4697423002405747,0.5837050449848175,0.8191,0.001729026436805725
163,0.4684472097134268,0.5820552772283554,0.8194,0.0015257397899404168
164,0.46705394610762596,0.5803070801496506,0.8199,0.0013018297031521797
165,0.4659379158873816,0.5786862799525261,0.8205,0.0014719930477440357
166,0.4645156908679653,0.5770621865987777,0.8214,0.0013485882664099336
167,0.4634278650219376,0.5754898090660572,0.8219,0.0016306174220517278
168,0.46214006821046005,0.5739066198468208,0.8224,0.001775957178324461
169,0.4609428892868596,0.572303192615509,0.823,0.0016879196045920253
170,0.4598724452426305,0.5708019857108593,0.8232,0.0013634130591526628
171,0.45865592008104195,0.5692758378386498,0.8234,0.0015928017674013972
172,0.4574627693037729,0.5677231307327747,0.824,0.001195396762341261
173,0.4563875250719689,0.566106155961752,0.8246,0.0016760394209995866
174,0.4552182702196611,0.5646532082557678,0.8253,0.001461162930354476
175,0.45410163267641457,0.5632355713844299,0.8257,0.001408976735547185
