iteration,gradient_norm_on_full_trainset_avg
0,0.32746815131662743
1,0.3232185831674828
2,0.3189160664050653
3,0.3146309496492267
4,0.310352446937794
5,0.30619306002742863
6,0.30206008890493247
7,0.2980587724424316
8,0.2941157373867863
9,0.2902760283972025
10,0.28646478202680453
11,0.2827415745565894
12,0.27904330330369864
13,0.2753977986542345
14,0.27179551342232744
15,0.26821132558916394
16,0.26474950401529723
17,0.2613801908987053
18,0.258039310166115
19,0.2547155645098015
20,0.2514624494847187
21,0.2483571901186993
22,0.2452813182563549
23,0.24217935819986874
24,0.2392123575394564
25,0.23631129055553973
26,0.23345539985905334
27,0.23063381528757604
28,0.22787436522965648
29,0.22512999440428963
30,0.22248499449803055
31,0.2198343624167717
32,0.21730832411779852
33,0.2147862139718108
34,0.21231283930257874
35,0.20989270976683772
36,0.20751152599912812
37,0.20518509304295535
38,0.20288555369881456
39,0.20065654084424273
40,0.19844560209370793
41,0.1962585532363515
42,0.1941051894725627
43,0.19194810261362458
44,0.18988318055907294
45,0.18785735136435872
46,0.18587027894929703
47,0.18389470450281242
48,0.18201274200525977
49,0.18012610962551878
50,0.17827161695793606
51,0.17646402088002988
52,0.17467613215437477
53,0.1728854880372564
54,0.17116321718347463
55,0.16945569208356295
56,0.16778772288537508
57,0.16614897177516835
58,0.1645660748124926
59,0.16296549178639191
60,0.16141185048664586
61,0.15986323733715196
62,0.15835915804286058
63,0.15685300991669576
64,0.15539944755810303
65,0.15394448967717417
66,0.15254622353287572
67,0.15113460330327885
68,0.14979971845068554
69,0.14841956207846607
70,0.14707488226383567
71,0.14576197992208567
72,0.14448096883530442
73,0.1432092373775516
74,0.1419587464103918
75,0.14069541005832206
76,0.1394945628820438
77,0.13828360533803835
78,0.13708553569677356
79,0.1359004956396242
80,0.13474377739669263
81,0.13362507737858415
82,0.13249072529787065
83,0.13138143087799073
84,0.1302794777172644
85,0.1292068008757926
86,0.12817406737312576
87,0.1271381819204164
88,0.12611312994829488
89,0.12508967015577316
90,0.12407513648518617
91,0.123100029588184
92,0.12211935535732814
93,0.12117120453873202
94,0.12023696910747243
95,0.11929253503059342
96,0.11837159351438897
97,0.11745952806901169
98,0.11655996016134362
99,0.1156665292365429
100,0.11478509231181755
101,0.11391839626224506
102,0.1130615781428546
103,0.11223344210914502
104,0.11143265250177978
105,0.11061039660718838
106,0.10979806007141261
107,0.10899010046917959
108,0.10821288297146563
109,0.10742220704690504
110,0.10665597038880077
111,0.10589282935363423
112,0.10513927802753967
113,0.10436906113006508
