epoch,train_loss(total)
1,2.2790852028131483
2,2.2876585072278974
3,2.6529834097623826
4,2.5617585998773573
5,2.3970423489809036
6,2.32409672498703
7,2.2665618419647218
8,2.2493058288097383
9,2.2507042580842973
10,2.2612638676166537
11,2.2405137473344805
12,2.238115426898003
13,2.212928739190102
14,2.223732246160507
15,2.2137774306535722
16,2.2178415900468824
17,2.2208615469932558
18,2.200431174039841
19,2.1945103764533997
20,2.1611214673519132
21,2.1490109035372735
22,2.151991285085678
23,2.1578326734900473
24,2.1779875895380973
25,2.1678323233127594
26,2.1505437555909155
27,2.138237065374851
28,2.1139552026987074
29,2.0995237174630166
30,2.103309571444988
31,2.100897286832333
32,2.1312101486325266
33,2.1185003870725634
34,2.1178038638830183
35,2.118115276992321
36,2.0817168980836867
37,2.0672267186641693
38,2.0430477273464205
39,2.035718912780285
40,2.032023040354252
41,2.05350500702858
42,2.066167258024216
43,2.085022619366646
44,2.092310085594654
45,2.0790225714445114
46,2.0695477104187012
47,2.0590355780720713
48,2.042362417578697
49,2.0236261117458345
50,2.0269123378396032
51,2.022625912129879
52,2.0142962858080864
53,2.0278729310631753
54,2.0241654497385024
55,2.0151358631253244
56,2.024510291814804
57,2.0137199911475183
58,2.0183615079522133
59,2.0274196141958236
60,2.021799356341362
61,2.026750599741936
62,2.0242494681477545
63,2.0200594794750213
64,2.0092174470424653
65,1.993524783849716
66,1.9829777559638024
67,1.976706589460373
68,1.9765389409661294
69,1.987955028116703
70,1.994023248553276
71,2.011815025806427
72,1.9977822962403298
73,1.9962939777970314
74,1.9863050317764281
75,1.9677858263254167
76,1.9580637779831886
77,1.9415998235344887
78,1.9315359589457513
79,1.9331515988707542
80,1.9249029764533043
81,1.9286514946818352
82,1.9381189134716987
83,1.9334214591979981
84,1.948256933093071
85,1.9485216200351716
86,1.9431337344646453
87,1.9574657097458839
88,1.937883017063141
89,1.9262192943692207
90,1.9267664474248887
91,1.9180624935030937
92,1.9288489708304406
93,1.938815961778164
94,1.9328180009126663
95,1.9346153980493546
96,1.9311330884695053
97,1.919193923175335
98,1.9277108642458916
99,1.9206672409176826
100,1.8988011485338212
