epoch,train_loss(total)
1,2.243564872741699
2,2.007755999863148
3,1.9027907848358154
4,1.8112269622087478
5,1.7352677589654923
6,1.6520175829529762
7,1.574934454858303
8,1.485324681699276
9,1.4014303004741668
10,1.3258645406365395
11,1.2582929727435113
12,1.2086329214274882
13,1.1440828117728232
14,1.0785410252213479
15,1.049269459247589
16,0.9869569659233093
17,0.9481086780130863
18,0.9192842781543732
19,0.8751020911335945
20,0.8528717720508575
21,0.8213689310103655
22,0.786251557469368
23,0.7674957922846078
24,0.7591499357670546
25,0.7236130497604608
26,0.7045603135228157
27,0.6814776100963355
28,0.6741049480438233
29,0.6414406479150057
30,0.644265913516283
31,0.6348805218189955
32,0.6158315882831812
33,0.6081228848546744
34,0.5812791704386473
35,0.5729431149363517
36,0.5725211677700281
37,0.5533252022787929
38,0.5422912306338549
39,0.5365798958390952
40,0.5207859591022134
41,0.5157283107563854
42,0.5131313864141702
43,0.4903742865473032
44,0.505212908424437
45,0.4819188354164362
46,0.47531937427818777
47,0.46249783962965013
48,0.470328159481287
49,0.47687787890434263
50,0.45125922068953517
51,0.43873294118791817
52,0.43728966541588304
53,0.4287109575793147
54,0.42278768368065356
55,0.41084859520196915
56,0.4062901838496327
57,0.42112685039639475
58,0.3999191280454397
59,0.38998578041791915
60,0.3858761080726981
61,0.37965734239667653
62,0.37604263205081223
63,0.3641102970764041
64,0.35561928421258926
65,0.35912848137319087
66,0.36259277690201996
67,0.35422034278512
68,0.3494140002503991
69,0.34145767387002707
70,0.3522994028776884
71,0.3356048157811165
72,0.32930788278579715
73,0.321848464589566
74,0.3289185156300664
75,0.3177245331183076
76,0.3182756957598031
77,0.3206597426906228
78,0.2983139165863395
79,0.29479828391224144
80,0.29703768718987705
81,0.29559731908142567
82,0.284447763543576
83,0.2939830437861383
84,0.30498057141900065
85,0.28017744516953824
86,0.2870957138389349
87,0.2743906847015023
88,0.27407664943486454
89,0.26741450432687996
90,0.2672452914342284
91,0.27145650183781983
92,0.26440273109823464
93,0.2591165490634739
94,0.2551687876321375
95,0.24835469419136644
96,0.2548386789672077
97,0.244687362536788
98,0.24682136911898853
99,0.23690891604870556
100,0.24967224461957813
