epoch,train_loss(total)
1,2.2188694497942922
2,2.0002258467674254
3,1.8931027966737748
4,1.7779333662986756
5,1.6836113902926444
6,1.631467777788639
7,1.5308672088384627
8,1.4435693311691284
9,1.3217493222653867
10,1.2109345649182797
11,1.1263191363215446
12,1.051021067649126
13,0.9543778294324875
14,0.8933724690973759
15,0.8383258643746376
16,0.7962427201867104
17,0.7490225596725941
18,0.7118646753579378
19,0.6955528479069472
20,0.6716000072658062
21,0.6396437249332666
22,0.6037442392110824
23,0.592886067032814
24,0.578531753718853
25,0.5491658744215965
26,0.5451944264769554
27,0.5189642310887576
28,0.5051232241839171
29,0.4957681522518396
30,0.4742287436127663
31,0.4645577463880181
32,0.4494627100229263
33,0.45157460793852805
34,0.42249506395310166
35,0.41869879461824894
36,0.4047675680369139
37,0.4056677431613207
38,0.3876510825380683
39,0.3903809455782175
40,0.3780836457759142
41,0.35987219054251907
42,0.37203319106251004
43,0.3386637223511934
44,0.34808321446180346
45,0.3301217397674918
46,0.3272604662179947
47,0.32867550909519194
48,0.3140027611330152
49,0.30772075429558754
50,0.3064490653201938
51,0.29759059838950636
52,0.29744423385709523
53,0.29378123143687845
54,0.2763552784174681
55,0.2822853046655655
56,0.27441519731655717
57,0.262020652256906
58,0.26059971962124107
59,0.25635157464072106
60,0.2529752696119249
61,0.2427653109282255
62,0.23712622784078122
63,0.2350257444754243
64,0.23412575783208012
65,0.22411373941227794
66,0.22395303949713707
67,0.21746818944811822
68,0.22300683392211795
69,0.22363754821941256
70,0.25456182736903427
71,0.20194633973762394
72,0.20063669994473457
73,0.1962083383835852
74,0.19806047283113004
75,0.18873754885047675
76,0.19219754555262625
77,0.19173151426017285
78,0.1847994072549045
79,0.17951695947907864
80,0.18010075359605252
81,0.1775979536306113
82,0.16846853896975517
83,0.1708872587326914
84,0.16726918732747437
85,0.17238978555426002
86,0.1625416693650186
87,0.15744118970818818
88,0.16325251855887474
89,0.151703395107761
90,0.15137088106945157
91,0.14620236130431294
92,0.14773542267270387
93,0.14802842819131912
94,0.1451607334520668
95,0.14193485740106554
96,0.1651758132316172
97,0.138032029280439
98,0.1355398921482265
99,0.13231372011825443
100,0.1287155172880739
