epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,2.2971305325627327,2.2922709703445436,0.282
2,2.287265152235826,2.2818457818031312,0.4476
3,2.276684120297432,2.27071408033371,0.5344
4,2.265258671840032,2.25840220451355,0.5838
5,2.252476486066977,2.2444683003425596,0.6138
6,2.2378685414791106,2.2283955812454224,0.633
7,2.2207867369055747,2.2094879269599916,0.6381
8,2.2004924451311427,2.1869344305992127,0.6454
9,2.1761550048987073,2.1597604942321778,0.649
10,2.1466837351520858,2.126845049858093,0.6527
11,2.1109430104494096,2.086859780550003,0.6564
12,2.0674719149867693,2.0384384667873383,0.6645
13,2.0152213886380195,1.9802461552619934,0.6737
14,1.9532753944396972,1.911291654109955,0.6847
15,1.8803149037063123,1.8310032129287719,0.6965
16,1.7952648480733235,1.7398286032676697,0.7102
17,1.701170135786136,1.6394174230098724,0.7191
18,1.599224970738093,1.5331967985630035,0.7289
19,1.4946110521753628,1.4256741082668305,0.7356
20,1.3883619924386343,1.3213100552558898,0.746
21,1.2891051049033802,1.2239927059412004,0.7551
22,1.19573148774604,1.1356265842914581,0.7667
23,1.1129949231942495,1.0568380284309387,0.7784
24,1.0387885990242163,0.9870869201421738,0.791
25,0.9736425175021092,0.9258951902389526,0.8003
26,0.9162614985058705,0.8720618751645088,0.8079
27,0.865479442725579,0.8247580716013908,0.8149
28,0.821866641069452,0.7830425691604614,0.8191
29,0.782285940895478,0.7459555250406266,0.8248
30,0.7487322598695755,0.7131721422076225,0.8307
31,0.7164818968623876,0.6837245151400566,0.8351
32,0.6898307574292024,0.6574197536706925,0.8412
33,0.6648012165601055,0.6336958126723766,0.8445
34,0.6410349198927482,0.6123694200813771,0.8483
35,0.6211555223291119,0.5931265141069889,0.8521
36,0.6023025594651699,0.5754019093513488,0.8553
37,0.5856476548438271,0.5593719673156738,0.8585
38,0.5693736270690958,0.5449202294647694,0.8611
39,0.5538387435177962,0.5314333249628543,0.863
40,0.5429024480904142,0.5189108031988144,0.8656
41,0.5306730806206663,0.507634402513504,0.8669
42,0.5186992285152277,0.4970513001084328,0.8697
43,0.5094728788360954,0.48731277130544187,0.8719
44,0.49944960605353117,0.4781120803207159,0.873
