epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,2.3011004204551377,2.3001710104942323,0.1342
2,2.2991694226861,2.2981488060951234,0.1707
3,2.297158855696519,2.296124982833862,0.2091
4,2.295201606551806,2.2940880060195923,0.2511
5,2.293202124039332,2.2920390582084655,0.2942
6,2.291219764947891,2.2899805688858033,0.3376
7,2.2891839012503623,2.2879048347473145,0.3784
8,2.2871275742848716,2.2858088994026184,0.4148
9,2.285067950189114,2.283689007759094,0.4409
10,2.28295563608408,2.2815450739860537,0.4642
11,2.2808594211935995,2.2793692779541015,0.4834
12,2.2787019804120066,2.27715975522995,0.502
13,2.276535328725974,2.2749125814437865,0.5184
14,2.2743628452221554,2.2726282358169554,0.5336
15,2.2721406276027363,2.2703006887435913,0.5458
16,2.269790478547414,2.2679335117340087,0.5598
17,2.2674240017930667,2.2655099487304686,0.5703
18,2.2650391260782876,2.263032319545746,0.5809
19,2.262660709520181,2.2604963159561158,0.5879
20,2.260035814344883,2.2579068326950074,0.5987
21,2.2575227777163187,2.2552431201934815,0.606
22,2.254849422474702,2.2525128889083863,0.613
23,2.252201730509599,2.2497076773643494,0.6181
24,2.249323888619741,2.2468267035484315,0.6223
25,2.2464886382222176,2.2438570284843444,0.6279
26,2.2435624187191325,2.2408019161224364,0.6321
27,2.2404876008629797,2.2376536655426027,0.634
28,2.237440779308478,2.2344073486328124,0.6371
29,2.2341160799066224,2.231059772968292,0.6386
30,2.2309707015752793,2.227596342563629,0.6397
31,2.2274595692753794,2.2240290570259096,0.642
32,2.223902453482151,2.220339050292969,0.6452
33,2.2202515428264937,2.21652010679245,0.6457
34,2.2163814733425777,2.2125698924064636,0.6463
35,2.212448883553346,2.2084764051437378,0.6459
36,2.208264196415742,2.2042369270324706,0.647
37,2.2041954432924586,2.199830884933472,0.6482
38,2.1997683718800545,2.195275228023529,0.6487
39,2.1950789019465446,2.190548787117004,0.6501
40,2.1904984027147294,2.185629246234894,0.6502
41,2.185732913017273,2.180531461238861,0.65
42,2.180351867278417,2.1752496933937073,0.6515
43,2.175246841708819,2.169739217758179,0.652
