epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,2.294424478709698,2.2857135009765623,0.274
2,2.277342967192332,2.2678923320770266,0.4456
3,2.2587214772899946,2.247654047012329,0.5261
4,2.236973665157954,2.223253397941589,0.5682
5,2.2102741936842603,2.192747712135315,0.601
6,2.1762750695149102,2.1534556341171265,0.6277
7,2.131973709662755,2.102039489746094,0.6421
8,2.0739672439793746,2.034529085159302,0.6525
9,1.9980856309334436,1.9471878147125243,0.6676
10,1.9010051069160303,1.8373977839946747,0.6785
11,1.7818024513622126,1.70560035943985,0.6908
12,1.6435229294002056,1.558186297416687,0.7053
13,1.4953723053137462,1.4065610408782958,0.7207
14,1.349533555905024,1.2636945521831513,0.7432
15,1.2161543279886247,1.1377736854553222,0.7611
16,1.0995246162017187,1.0307772463560105,0.7773
17,1.0027591516574224,0.9413805770874023,0.7937
18,0.9213595263659954,0.8667974880337715,0.8072
19,0.8545696171621482,0.8045996418595314,0.8161
20,0.7955550509194533,0.7514994016289711,0.8232
21,0.7486778791993857,0.7064957377314568,0.8305
22,0.7050197961429755,0.6679097238183022,0.8359
23,0.6688975346585114,0.6343868687748909,0.8414
24,0.6381231450786193,0.605218881815672,0.8477
25,0.6149111575757463,0.5798572909832,0.8536
26,0.6094813557962576,0.5577917678654194,0.8602
27,0.6459488907828927,0.5416390903294086,0.8618
28,0.6520299298067888,0.5257861422002316,0.8632
29,0.6098935053373377,0.509423128515482,0.8672
30,0.5753384651616216,0.4952898962795734,0.8706
31,0.543413165025413,0.481619254052639,0.8738
32,0.5147863101214171,0.46914845183491705,0.8756
33,0.49898262886951367,0.45777492061257363,0.8792
34,0.48317990098148583,0.44741754613816737,0.8813
35,0.47073506892969214,0.43799408093094827,0.8833
36,0.4578206052382787,0.4291309916228056,0.8856
37,0.4476916167885065,0.4210727171599865,0.8872
38,0.4402325191224615,0.41393861182034014,0.8881
39,0.4305639574614664,0.4072090861201286,0.8902
40,0.4246570829612513,0.40066671550273897,0.8911
41,0.41735933447877566,0.395080093331635,0.8925
42,0.4115719856694341,0.38943596839904787,0.8925
43,0.410526412135611,0.3844371486455202,0.8931
44,0.40670542754232886,0.3795365622639656,0.8945
45,0.4050015323174497,0.37500329796224835,0.8952
46,0.4081893798584739,0.3707475547119975,0.8962
47,0.40121357400591173,0.3666605495288968,0.8973
48,0.3930391663375,0.36295524027198556,0.898
49,0.3869753721170127,0.35906365133821966,0.8981
50,0.38264055401086805,0.3558853014186025,0.8992
51,0.37579290916522345,0.352651872895658,0.8996
52,0.37198239223410684,0.3495340929180384,0.9011
53,0.36561191603541376,0.3462996045872569,0.9001
54,0.3647866822468738,0.3434624232724309,0.9011
55,0.360817679669708,0.340847029350698,0.9022
56,0.35699058286845686,0.338072653375566,0.9031
57,0.3526363528954486,0.3354699014127254,0.9036
58,0.3502414909657091,0.33302121303975585,0.9046
59,0.34606851801897087,0.33060279646888374,0.9048
60,0.34404435828328134,0.3283272468112409,0.9058
61,0.3436874512893458,0.3260046533495188,0.9061
62,0.3424738780595362,0.32398340810090304,0.9066
63,0.33840114107976355,0.32176873689517377,0.9076
64,0.3352980976613859,0.31987728461623194,0.9077
65,0.3323069790378213,0.31765999756753444,0.9085
66,0.3293665632295112,0.3159239533543587,0.9088
67,0.32755799501513444,0.31379434235394,0.9096
68,0.32667512859528264,0.31200897036120295,0.9105
69,0.32512960272530717,0.31036697417497633,0.9111
70,0.32350533033410706,0.3083188547194004,0.9117
71,0.3206651577415566,0.3067485098354518,0.9118
72,0.3198465107940137,0.30524964867159726,0.9125
73,0.3189230830253412,0.30348481103777886,0.9136
74,0.31549138699968654,0.30184079924598334,0.9141
75,0.31586740563313165,0.30032919680699705,0.9138
76,0.3127076615424206,0.29875141790136694,0.9142
