epoch,train_loss(total),test_loss(average),test_accuracy(average),communication_count
0,2.563628757842864,2.146262230873108,0.1,0
1,2.563628757842864,2.146262230873108,0.2149,44
2,2.3012674390667622,1.9830062067508698,0.3173,88
3,2.1584139499399395,1.8881481158733369,0.3339,132
4,2.0891915421293246,1.8663065564632415,0.3283,176
5,2.0450851441633824,1.7994274854660035,0.359,220
6,2.0953325024156864,1.8387085330486297,0.338,264
7,2.0127933621406555,1.7701628959178926,0.3742,308
8,1.9547602525263124,1.7105623757839203,0.3883,352
9,1.9343334017979985,1.6832694494724274,0.3838,396
10,1.9194184391185494,1.64948988199234,0.4079,440
11,1.9138195782598828,1.6339104878902435,0.4145,484
12,1.8789595242100534,1.649317936897278,0.3989,528
13,1.8101517413601735,1.5830039286613464,0.4336,572
14,1.8167473502231362,1.5665802156925202,0.4311,616
15,1.8145320806840457,1.5566393411159516,0.4262,660
16,1.7553953106957259,1.5183269488811493,0.4532,704
17,1.785565316075026,1.5293868362903595,0.446,748
18,1.7421299857322616,1.481691265106201,0.4595,792
19,1.7683108488116603,1.504007682800293,0.451,836
20,1.7803800629846978,1.4949122595787048,0.4606,880
21,1.7322279642326663,1.4605642306804656,0.4707,924
22,1.7024312729787352,1.4419119024276734,0.4792,968
23,1.6655607819557192,1.4143700313568115,0.4924,1012
24,1.6302383201892925,1.3859365475177765,0.4997,1056
25,1.6210257790305391,1.36477366566658,0.5102,1100
26,1.6011781882156024,1.3433242428302765,0.5224,1144
27,1.6052254287883485,1.3464846312999725,0.5164,1188
28,1.6000155899861843,1.3187590622901917,0.5294,1232
29,1.556207261603288,1.2943199002742767,0.5422,1276
30,1.5503415907874254,1.275310790538788,0.5485,1320
31,1.5188490498547607,1.2633884131908417,0.5514,1364
32,1.5175336551184606,1.2375564062595368,0.5616,1408
33,1.5048448503619491,1.2288823223114014,0.5638,1452
34,1.496247771713469,1.212204624414444,0.5686,1496
35,1.420815403413291,1.1679622399806977,0.5866,1540
36,1.4473558152564847,1.1799089443683624,0.5835,1584
37,1.412799423090135,1.1429797142744065,0.5945,1628
38,1.531454925284241,1.1955036520957947,0.5784,1672
39,1.3710621201028725,1.1189306074380874,0.6093,1716
40,1.3707525841515469,1.1058662301301956,0.6121,1760
41,1.3243692116905945,1.0884042978286743,0.6156,1804
42,1.3306248805137595,1.0622293657064439,0.633,1848
43,1.3184806681943662,1.054663565158844,0.6328,1892
44,1.3222978414610171,1.0472149336338044,0.638,1936
45,1.325761696907005,1.0276373773813248,0.6468,1980
46,1.2076634556958172,1.002686271071434,0.6544,2024
47,1.2094894193037593,0.9817499101161957,0.6596,2068
48,1.2425708888155043,0.9815018898248673,0.6608,2112
49,1.1637248259903208,0.9502776169776916,0.6709,2156
50,1.2008324777237094,0.9480070340633392,0.6683,2200
51,1.1680476510464546,0.9322947710752487,0.6751,2244
52,1.18416351862628,0.935230416059494,0.6777,2288
53,1.170915622452293,0.9063604688644409,0.6866,2332
54,1.1081523589714608,0.8902927094697952,0.6941,2376
55,1.109558028253642,0.8802085989713668,0.6999,2420
56,1.0897142563504403,0.874225612282753,0.6989,2464
57,1.1123998645279145,0.8617326259613037,0.702,2508
58,1.0691031989726154,0.8637494951486587,0.7021,2552
59,1.034114493715643,0.8290562778711319,0.712,2596
60,1.0590293255418242,0.8297477805614472,0.7131,2640
61,1.0906785920713886,0.8143027710914612,0.7161,2684
62,0.9689254437131111,0.7968299001455307,0.7251,2728
63,1.040627810389105,0.8026152294874191,0.7227,2772
64,0.9937639677464362,0.7788659846782684,0.7307,2816
65,0.9412748202531027,0.7663491773605347,0.7362,2860
66,0.9381489520422136,0.7555603808164597,0.7418,2904
67,0.9748898249382921,0.7547181326150895,0.7398,2948
68,0.9209964558331653,0.7514590188860893,0.7426,2992
69,0.9050812117680156,0.7292635148763656,0.7501,3036
70,0.9619769052122581,0.7488300460577011,0.7402,3080
71,0.8936312713406305,0.7113015788793564,0.7571,3124
72,0.8921609540479353,0.7141030803322792,0.7538,3168
73,0.8681141934310544,0.7122632902860642,0.7542,3212
74,0.8717855517611359,0.7026878038048744,0.7582,3256
75,0.8988100060007789,0.6926067689061165,0.7632,3300
76,0.833840025494797,0.6813527929782868,0.767,3344
77,1.4210433040303414,0.9544706410169601,0.6648,3388
78,1.2147294741989387,0.7836685693264007,0.7308,3432
79,0.9063738569466756,0.7244679647684097,0.7555,3476
80,0.840120595512968,0.7022272515296936,0.7608,3520
81,0.8279662815609362,0.687916896045208,0.7657,3564
82,0.8255509878649854,0.6793697366118431,0.7683,3608
83,0.8096550998061596,0.6667535403370857,0.7732,3652
84,0.8125668697886997,0.6616390570998192,0.7747,3696
85,0.808104974753929,0.6542413014173508,0.7773,3740
86,0.7533786548207503,0.6407898831367492,0.7831,3784
87,0.768427986839805,0.6394983983039856,0.7805,3828
88,0.7723587834172776,0.6327051225304604,0.7831,3872
89,0.7583219864302215,0.62040678024292,0.7869,3916
90,0.7641970086278338,0.6246369379758835,0.7852,3960
91,0.7789573783073763,0.6183266904950142,0.787,4004
92,0.7187996294462319,0.6016661319136619,0.7936,4048
93,0.7387567011996953,0.6089283514022827,0.7931,4092
94,0.7220439122933331,0.5991600105166435,0.7946,4136
95,0.7052618570701039,0.5920085150003433,0.7978,4180
96,0.7010241346527831,0.5844620051980018,0.8,4224
