epoch,train_loss(total),test_loss(average),test_accuracy(average),communication_count
0,2.219946234810109,1.9666771793365478,0.1,0
1,2.219946234810109,1.9666771793365478,0.2838,49
2,2.084415651401695,1.8500924289226532,0.3319,98
3,2.0081563859569784,1.7685701107978822,0.3741,147
4,1.9215408922458181,1.6759153807163238,0.4049,196
5,1.8758562088620907,1.6165498042106627,0.4207,245
6,1.8173310455619072,1.5630008971691132,0.4398,294
7,1.790800508491847,1.5211953234672546,0.4519,343
8,1.7471833454102885,1.4938172578811646,0.462,392
9,1.7000608003261137,1.462652267217636,0.4696,441
10,1.6698989910738808,1.4264159882068634,0.4807,490
11,1.6244457351918122,1.375105140209198,0.5021,539
12,1.6040833692769616,1.3399472522735596,0.5207,588
13,1.5785725740145664,1.310052251815796,0.5284,637
14,1.5513320172927818,1.279610469341278,0.5414,686
15,1.5105942496839835,1.246434932947159,0.5608,735
16,1.469866900115597,1.2167678880691528,0.5716,784
17,1.4525163705859865,1.1803986048698425,0.5869,833
18,1.3773435296452776,1.1447160881757736,0.6017,882
19,1.3840084696302608,1.1187990880012513,0.6072,931
20,1.334169677933868,1.085580848455429,0.6253,980
21,1.3052304958810612,1.0565472477674485,0.6313,1029
22,1.2500882507586966,1.025660536289215,0.6459,1078
23,1.2450108450590347,1.0097537088394164,0.6503,1127
24,1.173630334132788,0.9706113868951798,0.6605,1176
25,1.2170871937153291,0.9594311147928238,0.6678,1225
26,1.1373541311037785,0.93184799015522,0.6765,1274
27,1.095978365564833,0.9073940002918244,0.687,1323
28,1.0624921034489359,0.8776168721914291,0.6956,1372
29,1.0902131745705799,0.8787596303224564,0.698,1421
30,1.0019465710739701,0.8451015150547028,0.709,1470
31,1.0091110134915429,0.8237800788879395,0.7182,1519
32,1.0286129592936866,0.8210717517137528,0.7149,1568
33,0.9573004114992765,0.7901510095596314,0.7289,1617
34,0.960946933195299,0.7828266096115112,0.7316,1666
35,0.9172074060354914,0.7608048844337464,0.7398,1715
36,0.8896147443019614,0.7526165896654129,0.7429,1764
37,0.9137314725287107,0.7469466683268547,0.7457,1813
38,0.8649706414767674,0.7239947310090065,0.7546,1862
39,0.8728566784031537,0.7112935829162598,0.7576,1911
40,0.8390241573963847,0.7062506937980652,0.7579,1960
41,0.8104265894816847,0.68344133913517,0.7647,2009
42,0.799865400152547,0.6729066121578217,0.77,2058
43,0.7955935609583952,0.6629834553599357,0.7755,2107
44,0.7733824621049725,0.6559867748618126,0.7762,2156
45,0.8038987269511029,0.6473913604021072,0.7771,2205
46,0.7341143131560209,0.6374402850866318,0.7819,2254
47,0.7630693321021236,0.6270530793070793,0.7842,2303
48,0.7274217934024577,0.6117291474342346,0.7917,2352
49,0.7226961037638236,0.6159118941426277,0.7894,2401
50,0.7217542622618529,0.599545037150383,0.795,2450
51,0.7373745125167224,0.6038180777430534,0.7919,2499
52,0.6905873881614938,0.5836461758613587,0.7987,2548
53,0.6842260945360271,0.5862371635437011,0.7989,2597
54,0.6679202420827077,0.5736658233404159,0.8035,2646
55,0.7077806543330757,0.5723560056090355,0.8034,2695
56,0.6404046751558781,0.5721367356181145,0.8024,2744
57,0.63614713780734,0.5516859501600265,0.8104,2793
58,0.6553708908661288,0.544911033809185,0.813,2842
59,0.6381811074608442,0.5437247896194458,0.8101,2891
60,0.6250144504010677,0.5453018337488175,0.8138,2940
61,0.6066015988436281,0.537483451962471,0.8143,2989
62,0.6370079398763423,0.5367846089601517,0.8143,3038
63,0.5988883287930975,0.5281624817848205,0.8169,3087
64,0.5887159555390173,0.5203968790173531,0.8211,3136
65,0.5982323225815686,0.5255334749817848,0.8183,3185
66,0.5973156828205196,0.5183400130271911,0.8201,3234
