epoch,train_loss(total),test_loss(average),test_accuracy(average),communication_count
1,2.1959127437095254,2.193939185142517,0.167,49
2,2.0420097501910464,2.121443431377411,0.2268,98
3,1.9431529352251364,2.063637965917587,0.2734,147
4,1.8677046819000829,2.0241589999198912,0.2792,196
5,1.8300839166860192,2.001104987859726,0.317,245
6,1.765603396053217,1.9513240599632262,0.3161,294
7,1.7296627559223954,1.9437027597427368,0.3186,343
8,1.6925800722472522,1.913423753976822,0.3368,392
9,1.637127745212341,1.8899636685848236,0.3507,441
10,1.6060127305741212,1.875464118719101,0.3447,490
11,1.5719009625668428,1.8565680921077727,0.3533,539
12,1.5303495705735928,1.8501354813575746,0.3556,588
13,1.5312324814042266,1.8381414771080018,0.3574,637
14,1.4554472745073086,1.7894939172267914,0.3835,686
15,1.4764898647459186,1.7634086108207703,0.395,735
16,1.4184615164995193,1.774512015581131,0.3802,784
17,1.394606532186878,1.73552831530571,0.3985,833
18,1.3708971094112008,1.6855098378658295,0.4303,882
19,1.333259683482501,1.6758503067493438,0.4359,931
20,1.3266018461816165,1.663994265794754,0.4366,980
21,1.2758663523257996,1.6503514385223388,0.4369,1029
22,1.2584990068357818,1.629254665374756,0.4484,1078
23,1.2109062344748147,1.5938368344306946,0.4542,1127
24,1.1961884425610911,1.5933573126792908,0.4552,1176
25,1.1664653038796113,1.5447991573810578,0.4774,1225
26,1.1616792624094048,1.532635293006897,0.4811,1274
27,1.1484529672532666,1.509851621389389,0.4908,1323
28,1.0751744320197982,1.4747318089008332,0.5031,1372
29,1.0808479994231341,1.4642040705680848,0.5159,1421
30,1.0863133836157468,1.409562349319458,0.5365,1470
31,1.039915994722016,1.4284490656852722,0.5266,1519
32,1.0157142536980766,1.4198688232898713,0.5295,1568
33,1.0082214357597488,1.4030994582176208,0.5386,1617
34,0.9933778759168119,1.3651929640769958,0.5508,1666
35,0.9913127726438095,1.3386928355693817,0.5664,1715
36,0.9248338283932939,1.3457156503200531,0.5543,1764
37,0.9384711469922747,1.3397633862495422,0.5618,1813
38,0.9011638371311889,1.3264337134361268,0.5639,1862
39,0.9030354217607148,1.3139410936832427,0.5702,1911
40,0.8827439330670298,1.288382569551468,0.5824,1960
41,0.9093134859386756,1.292018210887909,0.5745,2009
42,0.884140031222178,1.2766887974739074,0.5905,2058
43,0.8536723631681228,1.2752601218223572,0.5878,2107
44,0.8463441863351938,1.2687838864326477,0.5878,2156
45,0.834085222865854,1.255705749988556,0.601,2205
46,0.801406594411451,1.2249674308300018,0.6029,2254
47,0.7892410758198524,1.2458118677139283,0.5904,2303
48,0.7986160364686227,1.214973715543747,0.6086,2352
49,0.7791073297967717,1.2092878532409668,0.6093,2401
50,0.7603708008418277,1.2056676244735718,0.6074,2450
51,0.8470430249462322,1.1607802903652191,0.6274,2499
52,0.7424822205639615,1.160995489358902,0.6271,2548
53,0.7098929805262965,1.179271856546402,0.6227,2597
54,0.7160416133701801,1.1550299739837646,0.6269,2646
55,0.7346797346764681,1.1651697039604187,0.6246,2695
56,0.7092086702433168,1.1538538259267808,0.6262,2744
57,0.6897428885710483,1.142006613612175,0.6318,2793
58,0.6880155475620104,1.13766175031662,0.6306,2842
59,0.664974611632678,1.131097880601883,0.6319,2891
60,0.6724726141867589,1.148842115998268,0.6261,2940
61,0.6868699725185122,1.1323114973306656,0.6301,2989
62,0.6488443135606999,1.1304796332120894,0.6304,3038
63,0.6598953848742709,1.1508933091163636,0.6201,3087
