epoch,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
1,2.3283625811338426,2.30253636887733,0.10441666666666667,2.302492370605469,0.1028
2,2.264274969696998,2.297990895332174,0.17161666666666667,2.295641508102417,0.2148
3,2.1948281824588776,2.2506540633262473,0.2075,2.2322834849357607,0.2484
4,2.1122737442453707,2.109168122677093,0.30945,2.0682366359233857,0.4014
5,2.0274243940909704,1.9537044230927811,0.3736,1.8876672327518462,0.4619
6,1.9472722699244818,1.8376082592822136,0.41718333333333335,1.7548699164390564,0.492
7,1.8664382547140121,1.7306681952577956,0.45653333333333335,1.633005964756012,0.5287
8,1.7850760127107301,1.6207965475447634,0.5001166666666667,1.5207964205741882,0.5749
9,1.7015460371971132,1.5231826082189033,0.5355166666666666,1.4090384197235108,0.6098
10,1.6269285808006924,1.4296194183065536,0.5703666666666667,1.298856440782547,0.6462
11,1.559723763167858,1.3565674918763182,0.6020833333333333,1.2315442472696305,0.6784
12,1.4979809800783794,1.2779839896141214,0.6277166666666667,1.1441883140802382,0.6915
13,1.4478954081734023,1.2164608503909822,0.6467666666666667,1.0801976257562638,0.7004
14,1.3994412407279013,1.1536262304224867,0.6571666666666667,1.0095848286151885,0.7093
15,1.3593687996268269,1.103691035382291,0.6691166666666667,0.9634142345190049,0.7164
16,1.3295039211710293,1.055154885890636,0.6777,0.9024578362703324,0.7291
17,1.286871082087358,1.017205558939183,0.6916333333333333,0.8750492376089096,0.7395
18,1.2594082002838454,0.9835813912939518,0.6981833333333334,0.8420001715421677,0.747
19,1.2354722435275713,0.9433438826114573,0.7083,0.8043741464614869,0.7568
20,1.207631631195545,0.9134955814544191,0.7118666666666666,0.7668749493360519,0.7626
21,1.183703200519085,0.8816060398487334,0.725,0.7431984525918961,0.7672
22,1.163077041010062,0.8619870294915869,0.7348666666666667,0.7148344048857689,0.7782
23,1.1400999337434767,0.8311374638942962,0.7477666666666667,0.6937888503074646,0.7879
24,1.1274387950698537,0.8113269006952326,0.7602166666666667,0.675005539059639,0.8003
25,1.1109520398080348,0.7905241040473289,0.7693666666666666,0.645488623380661,0.8109
26,1.08492291867733,0.7692192780210617,0.7782,0.6263057321310044,0.8231
27,1.0748814195394514,0.7517439573369128,0.7851666666666667,0.6076628252863884,0.832
28,1.0627130048970381,0.7310834197287864,0.79285,0.5895816397666931,0.8457
29,1.046137948334217,0.7163010647956362,0.7990833333333334,0.5758126652240754,0.8493
30,1.0363981140156586,0.6995685333901264,0.8053833333333333,0.5588131612539291,0.8584
31,1.0200889761249223,0.6895998663090644,0.8056833333333333,0.5489540591835975,0.8596
32,1.0155681749184926,0.6697282532428174,0.8158333333333333,0.529073192179203,0.8701
33,0.9996503112216791,0.6597596143154387,0.8201833333333334,0.5207683286070823,0.874
34,0.9888957098126411,0.6483754102219926,0.82045,0.5063758936524391,0.8788
35,0.9781592505673569,0.6382106448741669,0.8239833333333333,0.48944476902484896,0.8822
36,0.969947825372219,0.6203384358832177,0.8338333333333333,0.47872621834278106,0.8904
37,0.9573562028507391,0.6116098675322026,0.8376333333333333,0.46582973390817645,0.8952
38,0.9526212282478809,0.5983522815907255,0.83905,0.45517682284116745,0.9004
39,0.9492635448773702,0.5901188363420202,0.8448333333333333,0.4478105074167252,0.9001
40,0.9439385786652564,0.5799430541535642,0.8501333333333333,0.44401119887828827,0.9023
41,0.9265142773588498,0.5736235377636362,0.8529333333333333,0.43590726241469385,0.911
42,0.9188444323837756,0.5641740267581128,0.8558,0.4219472908973694,0.9136
43,0.9163457572460175,0.5531809853746535,0.8599666666666667,0.4119486004114151,0.9164
44,0.9095242040852706,0.5474676123324861,0.8621833333333333,0.4018759822845459,0.9193
45,0.9013501428067685,0.5399030564947331,0.8648333333333333,0.3992201735079288,0.9187
46,0.8911142222583294,0.5243075521702462,0.8685333333333334,0.38526096373796465,0.9209
47,0.8907658999164898,0.5171011474538356,0.8714666666666666,0.3763544054329395,0.9263
48,0.8816365877787272,0.5121387699817089,0.87035,0.3704898190498352,0.9234
49,0.875179195900758,0.505740072118475,0.87125,0.3610941109061241,0.9255
50,0.8664415863653024,0.4972257411226313,0.8753,0.3580938000977039,0.9284
51,0.8632613830268383,0.4921972355944045,0.8778,0.3459538008272648,0.9326
52,0.8510726573566596,0.48134973467664516,0.8795,0.33877393588423727,0.9324
53,0.8486830540001393,0.47357286671374704,0.8833333333333333,0.33452844083309174,0.9341
54,0.8492402511338392,0.4692908634530737,0.8843666666666666,0.32858037292957304,0.9346
55,0.8318832596143086,0.4642428187613792,0.8836666666666667,0.3266028868407011,0.9319
56,0.835567172865073,0.4592870335629646,0.8855666666666666,0.32250184699893,0.9328
57,0.8361865592499574,0.4540110561441868,0.88385,0.3116172555834055,0.9356
58,0.8262089366714159,0.4503834609021532,0.888,0.30899775341153146,0.9371
59,0.8221410403649013,0.44544183358233025,0.8884166666666666,0.3035386243462563,0.9386
60,0.8233954866727194,0.4365444215054208,0.8889333333333334,0.29877798676490785,0.9376
61,0.8177529039482275,0.43133355315695415,0.8910333333333333,0.2946454230695963,0.9386
62,0.8114431314170362,0.43120449439008185,0.8918333333333334,0.2921077327430248,0.9407
63,0.80253486558795,0.424286646411774,0.89135,0.2862958838045597,0.94
64,0.8065941631793976,0.4230476017962111,0.8925833333333333,0.28280525401234624,0.9418
65,0.7988803115983804,0.4181317518366144,0.8937,0.27680074140429495,0.9436
66,0.7947269871830941,0.41076631228974525,0.8960333333333333,0.2732319005578756,0.9428
