epoch,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
1,2.300462608536084,2.2896115161002952,0.14851666666666666,2.281217098236084,0.2003
2,2.1950730969508494,2.1302959939266772,0.32456666666666667,2.0441047489643096,0.4276
3,2.0768973961472508,1.9563072128498808,0.37123333333333336,1.8308886015415191,0.4726
4,1.9479599674542742,1.8035012143723508,0.42306666666666665,1.67103120803833,0.517
5,1.8507852315902709,1.6659120372001162,0.47968333333333335,1.5100084722042084,0.5879
6,1.8158404991030694,1.5712963520212377,0.5256833333333333,1.3996491718292237,0.6332
7,1.7727571964263917,1.4947691186945489,0.5553833333333333,1.3144206964969636,0.6668
8,1.726793546477954,1.423662298790952,0.58585,1.2473893535137177,0.6972
9,1.6840306753913563,1.3520959691798433,0.60975,1.1787738955020906,0.7128
10,1.6649540290236475,1.3073079722992917,0.6276,1.1203335547447204,0.7282
11,1.6372010956207912,1.256405345937039,0.6435833333333333,1.0611884653568269,0.7498
