epoch,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
1,2.328575636943181,2.302304618916613,0.10376666666666666,2.3020799493789674,0.103
2,2.295289831360181,2.300626892739154,0.11758333333333333,2.2993888115882872,0.1347
3,2.2654762655496596,2.2856846048476847,0.18901666666666667,2.275591311454773,0.2459
4,2.215648184219996,2.230564082937038,0.2288,2.1991274666786196,0.2831
5,2.1750233769416805,2.171259279454008,0.25875,2.133585435152054,0.3318
6,2.1494958549737926,2.1248240673795658,0.2864,2.0819864118099214,0.3649
7,2.141146429379781,2.084175495391196,0.31926666666666664,2.027203469276428,0.3978
8,2.1567587643861774,2.0666079064632985,0.34446666666666664,2.0106111931800843,0.4285
9,2.2013481467962266,2.051708389343099,0.35885,1.991399085521698,0.4362
10,2.2660454620917636,2.0486941723113365,0.3551,1.9819414007663727,0.4229
11,2.318127071857452,2.044751541157986,0.3548,1.975258926153183,0.4135
12,2.371606807907422,2.0385119230189224,0.34681666666666666,1.9684008574485778,0.3986
13,2.4394919673601785,2.0329968797399642,0.34013333333333334,1.9582648372650147,0.3994
14,2.538480506340662,2.0480217340144704,0.35113333333333335,1.9714988446235657,0.4176
15,2.625544414917628,2.064677458621086,0.3462,1.9939221107959748,0.4116
16,2.695992709199588,2.0908100158610243,0.3277333333333333,2.022977657318115,0.3935
17,2.746539410948753,2.1206868252855666,0.2844333333333333,2.0549665760993956,0.3332
18,2.81083025932312,2.1820060557507452,0.19993333333333332,2.124903497695923,0.2422
19,2.810622858007749,2.2367095876247323,0.17501666666666665,2.182351362705231,0.2139
20,2.7920161277055744,2.287979872683261,0.16833333333333333,2.231226828098297,0.1941
21,2.776748873790105,2.298087269194583,0.1649,2.2398647546768187,0.1921
22,2.7544415990511575,2.3188201214404818,0.165,2.2687857604026793,0.1942
23,2.693819592396419,2.297641188033084,0.16043333333333334,2.2486139059066774,0.1898
24,2.6330347448587417,2.272129916130228,0.1641,2.2211772179603577,0.1868
25,2.568913875023524,2.239387508148843,0.16056666666666666,2.191851201057434,0.1878
26,2.515404641628266,2.2219925941304957,0.16493333333333332,2.171107044219971,0.1897
27,2.4674293110768,2.1992901102025457,0.16611666666666666,2.146473505496979,0.1868
28,2.4155749807755154,2.1741972679787493,0.1999,2.1187513852119446,0.226
29,2.363933403293292,2.145435886180147,0.24465,2.087803930044174,0.2838
30,2.3307479739189145,2.1360233083684395,0.2579666666666667,2.0782457435131074,0.3024
31,2.2950591892004018,2.1167436376531072,0.2782,2.05757031083107,0.3291
32,2.258823255697886,2.0947674020807794,0.2937,2.0328977513313293,0.3424
33,2.2256133645772933,2.0657159232078715,0.30255,2.002553164958954,0.335
34,2.202328316370646,2.049700925198007,0.3080833333333333,1.983094916343689,0.3436
35,2.19700957039992,2.0299970292030496,0.3081,1.9586555242538453,0.3393
36,2.1850904524326324,2.0139913320541383,0.3192,1.940346051454544,0.3507
37,2.1656099766492845,1.993971747540413,0.32051666666666667,1.9123896598815917,0.3535
38,2.171977256735166,1.9785811267000564,0.3378333333333333,1.8981318593025207,0.3855
39,2.1664347176750502,1.970771602366833,0.33763333333333334,1.8828043031692505,0.3898
40,2.1561100641886397,1.9712538724249982,0.34096666666666664,1.8783475756645203,0.4113
