,gradient_norm_on_full_trainset
0,0.28421381225318776
1,0.283183697167207
2,0.2825499686199178
3,0.2803037785587857
4,0.278971641998855
5,0.277786177449433
6,0.27747505304136244
7,0.276830823325501
8,0.2760307018234366
9,0.27528172579975746
10,0.2745357955010693
11,0.27379647954339703
12,0.27306749247972195
13,0.27232964183486374
14,0.27161168151464843
15,0.2708771186380708
16,0.2701480397496995
17,0.2694323999620387
18,0.2687056871912826
19,0.2679918592501197
20,0.2672757834087046
21,0.26656890986808407
22,0.26585671471392053
23,0.2651486355986775
24,0.26444091102851164
25,0.26373116793909857
26,0.26303654358222717
27,0.2623378153397157
28,0.26163928857867946
29,0.2609380612596568
30,0.26025217335592893
31,0.2595613624066645
32,0.2588753657843558
33,0.25818378507450135
34,0.2575032393582223
35,0.2568229819510158
36,0.25613792332909924
37,0.2554623669829673
38,0.25478022371575537
39,0.25410872855342354
40,0.2534367297618857
41,0.25276737582307196
42,0.25209026251905103
43,0.25142448436691484
44,0.2507579074665112
45,0.25009216925387
46,0.2494345469897556
47,0.24877595990670698
48,0.24812070110018788
49,0.2474696706566041
50,0.24681270882552114
51,0.24615866297204775
52,0.2455200174129954
53,0.24487410617006233
54,0.2442375642564
55,0.24359427814283602
56,0.24296165337891268
57,0.24232391826267322
58,0.24169408113471733
59,0.24106190319602677
60,0.24042224036303078
61,0.23980029343342527
62,0.2391659914621696
63,0.23854931096034812
64,0.23791761161106711
65,0.2373053978253295
66,0.23669030105990374
67,0.23606962716001928
68,0.23546219549524502
69,0.23484791074173686
70,0.2342403434843166
71,0.23363653291799294
72,0.23303057193082619
73,0.2324219294246475
74,0.2318268759964174
75,0.23122261689062612
76,0.230626924655179
77,0.23003520867992067
78,0.22944593202800076
79,0.22884959881410788
80,0.22825957355841173
81,0.22766940868832047
82,0.2270858621095903
83,0.22651472389320335
84,0.2259250808485624
85,0.22534309485265328
86,0.22476733946815272
87,0.224191412760793
88,0.22361270712891068
89,0.22304443880634586
90,0.22247249379980572
91,0.22191078661945748
92,0.22134859705905754
93,0.22078027723310417
94,0.22022977281768918
95,0.2196748378780507
96,0.21911786830796415
97,0.2185636767662431
98,0.21801400563066192
99,0.217457304106907
100,0.21690573197310875
101,0.21636378409615045
102,0.21581044808395822
103,0.2152606443830674
104,0.21472308975647897
105,0.2141773822124479
106,0.21363240482048199
107,0.2130953931433835
108,0.21256053569398786
109,0.21202684463248622
110,0.21149576803263398
111,0.2109649530547087
112,0.21043998650392717
113,0.20991384304123292
114,0.20939466897479883
115,0.20887640109858546
116,0.20835401082776012
117,0.20783204851811746
118,0.20731194034680614
119,0.20680715190724114
120,0.206296943902425
121,0.20578233731599357
122,0.20528355217506591
123,0.20477572074646044
124,0.2042691567516417
125,0.20377488329633967
126,0.20327005468587847
127,0.20277247416101057
128,0.20227682648801645
129,0.20177750330198668
130,0.2012823198429131
131,0.20078873679637846
132,0.20029569206814135
133,0.19980219741368294
134,0.19930476083218807
135,0.19882039503690876
136,0.19833730138946237
137,0.1978475623575689
138,0.19736747305545194
139,0.1968810065300472
140,0.1964135258233237
141,0.1959311245786359
142,0.19546116170757927
143,0.19498618550750801
144,0.19451511924991385
145,0.19403934177566246
146,0.1935663592799682
147,0.19310012228147047
148,0.19263447792412397
149,0.19216665718289083
150,0.19171416108437866
151,0.19125223797836438
152,0.19078983183881154
153,0.19034696939093812
154,0.18989994803154803
155,0.18944333071671846
156,0.18898941861561053
157,0.18853274908022483
158,0.18808756721869843
159,0.1876399922946938
160,0.18719397228263332
161,0.18675493206989185
162,0.18631481447028408
163,0.18587022446934223
164,0.18543689186977158
165,0.18499496593735704
166,0.18456649604559555
167,0.1841246094729891
168,0.1837044904053726
169,0.18327573267493696
170,0.18283937870540407
171,0.18240905163893137
172,0.18198594811146587
173,0.18156127678810474
174,0.18113605990995124
175,0.18072055341729357
176,0.18030081483743848
177,0.17988402386065652
178,0.17946800429930837
179,0.17905061975829833
180,0.17863776848810659
181,0.17822286519279804
182,0.177814155626629
183,0.1774030960346895
184,0.17699512031817471
185,0.176580367140076
186,0.17618177018319145
187,0.17577612043751428
188,0.17536998658397948
189,0.174972274000493
190,0.17457022652735404
191,0.1741750939717158
192,0.17377673297141177
193,0.17337482150265898
194,0.17298605277890072
195,0.17259197213767447
196,0.17220667356642302
197,0.1718072517084519
198,0.1714185316098133
199,0.17102660983300774
200,0.17064262247019846
201,0.17025308946995482
202,0.169873892794025
203,0.16950053541049673
204,0.1691139477165083
205,0.16873042350618
206,0.16835974990268146
207,0.16797628687500943
208,0.16759960456312417
209,0.16722716371791344
210,0.16685743091676444
211,0.16648259179598138
212,0.16611107719396107
213,0.1657351835786357
214,0.16536809180519052
215,0.16500499000725888
216,0.16463853793627883
217,0.1642699299442842
218,0.16390242515898895
219,0.16354219606422346
220,0.1631764709467392
221,0.1628206952740881
222,0.16245830921732485
223,0.16210332856640797
224,0.16174231337949527
225,0.16139175017337432
226,0.16103408655031823
227,0.16068618545907418
228,0.16033421331321368
229,0.15999058172996208
230,0.1596345257869048
231,0.1592855354112515
232,0.15893902983124752
233,0.15859710994358672
234,0.15825306863713934
235,0.1579075504215252
236,0.15757095643898342
237,0.15722642654999455
238,0.15688363947532133
239,0.1565454489119052
240,0.1562034308088484
241,0.15586845329404833
242,0.1555341855636566
243,0.15519625566905054
244,0.15487173644641336
245,0.154537509847666
246,0.15420042023321665
247,0.1538733196167132
248,0.15353760984278503
249,0.15321186647013768
250,0.1528808839952292
251,0.15255667405919743
252,0.1522336679318455
253,0.1519091833853657
254,0.15158031810057832
255,0.15125986619932824
256,0.15094331559731897
257,0.15061917432781874
258,0.150304182335021
259,0.14998019333542115
260,0.14966551116294144
261,0.14934811244551566
262,0.1490339497767323
263,0.1487271848833211
264,0.14841720679106035
265,0.14810212708072298
266,0.1477977510278216
267,0.14748125795669914
268,0.14717429964180068
269,0.14687034033280388
270,0.14655613131404963
271,0.14625261666894984
272,0.14594856848214716
273,0.14564112405573615
274,0.14533701600684754
275,0.14504008958010672
276,0.14474253700983192
277,0.1444483580980506
278,0.1441466635577296
279,0.14384519170597898
280,0.14354676119905746
281,0.14324901608475515
282,0.14296249149080884
283,0.1426643093356044
284,0.1423733858091893
285,0.14208549823832523
286,0.14179166282576766
287,0.14150459532356366
288,0.14121528704633413
289,0.14093200275270867
290,0.14064741681052195
291,0.14036380110251007
292,0.140074237993922
293,0.13979216443638318
294,0.13951024264991557
295,0.13922690431393933
296,0.13894443613597113
297,0.13866588020468248
298,0.13838866116524673
299,0.13810970429052158
300,0.13783452685127068
301,0.13755492984139914
302,0.13728724762424888
303,0.13701732978766656
304,0.13674071240192567
305,0.13646788398305337
306,0.1361944877417269
307,0.13592182666382646
308,0.13564990040747943
309,0.13538324549599684
310,0.13511490586162325
311,0.13485355650007963
312,0.1345818496483714
313,0.13431519400947672
314,0.1340546154439876
315,0.13378416571888133
316,0.1335196378816101
317,0.1332605338244766
318,0.13299177818018662
319,0.13272792828619087
320,0.13247172398228718
321,0.13221253543988848
322,0.131951241657219
323,0.13169144659646911
324,0.13143322922284711
325,0.1311783770156422
326,0.13092062675308908
327,0.13066885127508826
328,0.13041522487527238
329,0.13015555211411484
330,0.129896337492448
331,0.12964763973381366
332,0.12939775555656424
333,0.1291453169931507
334,0.12889239633021574
335,0.12863952526634742
336,0.12839557512934047
337,0.12814979965508377
338,0.12790226976587502
339,0.1276505173473683
340,0.12741042104740863
341,0.1271637708188021
342,0.12691563220967028
343,0.12667459349739565
344,0.12643226709088265
345,0.12619175373251357
346,0.12595384794308132
347,0.1257147550003288
348,0.12547147175395973
349,0.12523111772863207
350,0.12499266470043316
351,0.12475135383056209
352,0.12451390301032608
353,0.12427547883890463
354,0.12403675118593886
355,0.12379832909329971
356,0.12356497049660993
357,0.12333194660319051
358,0.12309714895162352
359,0.12285980627724058
360,0.12263231165326642
361,0.1224004567744694
