,gradient_norm_on_full_trainset
0,0.28421381225318776
1,0.28070945367458744
2,0.27995855194131897
3,0.27847485631748314
4,0.27842015118116337
5,0.2764291887709164
6,0.27580677091556144
7,0.2759443959885706
8,0.27524354087995295
9,0.2747137641968268
10,0.2739557143961443
11,0.27305176082021876
12,0.2725224219313352
13,0.27172669105839253
14,0.2709046123383798
15,0.27024571018071286
16,0.2696598696663651
17,0.2687332790297413
18,0.2681925657362546
19,0.26734628323227666
20,0.2665866929182286
21,0.2660030942960804
22,0.2652777834768315
23,0.26446005595013833
24,0.2638191883124094
25,0.26318261406850574
26,0.2624487487266691
27,0.26165159427311546
28,0.2610356158652232
29,0.2603619387971562
30,0.2596160439710896
31,0.25893304725708893
32,0.25831821455890325
33,0.2575465974577792
34,0.2568769224228994
35,0.2562365079072586
36,0.2553842464280257
37,0.25489502412818105
38,0.25422377181896827
39,0.25350577266318075
40,0.2528417096581571
41,0.2521178768331126
42,0.2514452153005827
43,0.25087051156078316
44,0.2501766523769197
45,0.2495061143728598
46,0.2489109022775245
47,0.2481945040800352
48,0.247560437993349
49,0.24681401930460362
50,0.24624692260500008
51,0.24563235223616423
52,0.24491841658135463
53,0.24430285912612337
54,0.24364901069741157
55,0.2430913107587203
56,0.2422051905940037
57,0.24181103053118896
58,0.24122169217389952
59,0.24030922150979891
60,0.239901991548593
61,0.23929331111407492
62,0.2385445043304885
63,0.2380116157009356
64,0.23737044321395614
65,0.23666481174807733
66,0.23624283285086153
67,0.23545765576060368
68,0.23488054675713946
69,0.23425134911552953
70,0.2337010536149653
71,0.2330351614902418
72,0.23248193854440896
73,0.2319087075368012
74,0.2311968530002098
75,0.23079090735145824
76,0.23007233795506482
77,0.22952900177532537
78,0.22878773302337335
79,0.22829456038534657
80,0.2278224821614479
81,0.22707172630799538
82,0.2266036356290467
83,0.2259712689761571
84,0.2252891495749738
85,0.2248176110238369
86,0.2242932094048855
87,0.22369811066360362
88,0.22312346060339522
89,0.22247164960309512
90,0.22183697351370663
91,0.2214746263350409
92,0.22084248052138783
93,0.22029580047152017
94,0.2197617804655831
95,0.21913478727892094
96,0.2185969358161522
97,0.21806081023508012
98,0.21751451188698456
99,0.21693769716119152
100,0.2163702388681156
101,0.21593616872320115
102,0.2153402105831967
103,0.21471933335627344
104,0.21427946352180632
105,0.21376724213455506
106,0.21306757448079053
107,0.21263956677955048
108,0.21205788200584808
109,0.21163962219428784
110,0.2110181299877433
111,0.2105180051308496
112,0.21005030767392122
113,0.2094502893073356
114,0.20897997651087924
115,0.20835631839413632
116,0.20791430545506012
117,0.20743494668721266
118,0.20688593089939986
119,0.20631443622739964
120,0.2058641253600121
121,0.20542001244082492
122,0.20473952705997017
123,0.20433479467609478
124,0.20382508452612624
125,0.20341630854179021
126,0.20275751540963843
127,0.20232756491408738
128,0.20186542517568773
129,0.20127443811530005
130,0.20081452239379174
131,0.20028349063958067
132,0.19990526688537918
133,0.1993492540851133
134,0.19882932800962896
135,0.19837904326954295
136,0.1979464053322371
137,0.1974131320492313
138,0.19694705420738182
139,0.19642701900250328
140,0.1959851070458153
141,0.19549328045814796
142,0.1950084309131293
143,0.19459113223192198
144,0.194105495651048
145,0.19361747168819307
146,0.19323844943888402
147,0.19267956324627056
148,0.19218738705444524
149,0.19178413628653646
150,0.1912968259953505
151,0.19086318946115402
152,0.1903484520529244
153,0.18996874159928562
154,0.18958487672124694
155,0.18896444388528363
156,0.18863234016462274
157,0.1881148744838307
158,0.18774913382706981
159,0.18719053259003218
160,0.18680345078808663
161,0.18638048012107283
162,0.18585262538186126
163,0.18550992749848746
164,0.18511868815221955
165,0.18460159023727551
166,0.18420019488424805
167,0.1837705295374154
168,0.1833515334657137
169,0.18289704588459343
170,0.1824140437343153
171,0.1820997198755137
172,0.18157269310274787
173,0.1812464399942315
174,0.18076592338993577
175,0.1803503664768758
176,0.1799013687955668
177,0.1795202289841032
178,0.17905887892478883
179,0.17869700054921028
180,0.17827540376269532
181,0.17788338100201642
182,0.1774420535312547
183,0.17702105545840077
184,0.17659641230482465
185,0.1762753255837693
186,0.17587091271480979
187,0.17528790717942552
188,0.17503120345997414
189,0.17467016516998585
190,0.17413350691011945
191,0.17388176186561904
192,0.17336897477955895
193,0.17302532327854978
194,0.1725669015382409
195,0.17225650414816907
196,0.17189207389781055
197,0.17144208324333934
198,0.17104643150513957
199,0.17060521181003868
200,0.17033025637405502
201,0.16989943263135526
202,0.16954560114105674
203,0.1691132216370253
204,0.16877093777392785
205,0.16840122350141942
206,0.16795122897547735
207,0.16760060065847043
208,0.16729464310431902
209,0.16686359489254848
210,0.16658207879105394
211,0.16606351742525027
212,0.16571618978777114
213,0.16542505653128056
214,0.16498408279314397
215,0.1646160722544048
216,0.16431483052744597
217,0.16395546133647787
218,0.16350838845161142
219,0.16323262534562488
220,0.16285340162243103
221,0.16239498966811142
222,0.1621382897669844
223,0.16180787965017548
224,0.16141827051213356
225,0.1610389312581699
226,0.16070147441488494
227,0.16029918003569565
228,0.160066518029621
229,0.15963782729369475
230,0.15935113551675467
231,0.15893848454946455
232,0.15863974416226626
233,0.1583022238721547
234,0.15790115977804497
235,0.1576072177604928
236,0.15727415160452735
