epoch,train_loss(total),test_loss(average),test_accuracy(average)
1,2.3026137597858907,2.302441029548645,0.0942
2,2.302411922067404,2.3023897862434386,0.096
3,2.302361921221018,2.302338800430298,0.0984
4,2.3023220618565876,2.3022876930236817,0.1009
5,2.30226680363218,2.302236533164978,0.103
6,2.302216679851214,2.302185447216034,0.1062
7,2.3021564962963263,2.3021344137191773,0.1084
8,2.3021190414826074,2.302083373069763,0.1109
9,2.3020722245176635,2.3020323133468628,0.1142
10,2.302014836917321,2.301981220245361,0.1169
11,2.3019737283388775,2.3019300746917724,0.1201
12,2.3019218993683657,2.3018790173530577,0.124
13,2.3018716504176457,2.301827943325043,0.1275
14,2.3018162049353124,2.3017768907546996,0.1292
15,2.3017795083423453,2.3017259454727172,0.1325
16,2.301726920902729,2.3016748213768006,0.1362
17,2.3016855234901112,2.3016238021850586,0.14
18,2.301629164069891,2.301572756767273,0.1435
19,2.3015800510843594,2.3015216064453123,0.1468
20,2.301511444648107,2.301470537185669,0.1499
21,2.301473619788885,2.3014196801185607,0.1533
22,2.3014260324339073,2.3013683652877805,0.1559
23,2.3013753754397235,2.3013171935081482,0.1594
24,2.301318770398696,2.301266067028046,0.1627
25,2.3012716015179953,2.30121506690979,0.1663
26,2.3012277257939178,2.3011638712882996,0.1701
27,2.301171078781287,2.3011127400398252,0.1726
28,2.3011249346037705,2.3010616874694825,0.1765
29,2.301074579358101,2.30101060628891,0.18
30,2.3010237820446493,2.300959434509277,0.1836
31,2.3009771667420864,2.3009082746505736,0.187
32,2.300935233384371,2.3008571577072146,0.1911
33,2.3008720559378464,2.3008058357238768,0.194
34,2.3008142660061517,2.3007546997070314,0.1972
35,2.300791830321153,2.3007035875320434,0.2002
36,2.3007210234800977,2.300652344226837,0.2037
37,2.30067258477211,2.3006012082099914,0.2071
38,2.300620159258445,2.3005500507354735,0.2113
39,2.300585397084554,2.300498814582825,0.2141
40,2.3005302997926873,2.300447633266449,0.2174
41,2.300471217185259,2.300396320819855,0.2204
42,2.3004278622567655,2.3003450560569765,0.222
43,2.3003761696318787,2.300293915271759,0.2253
44,2.300335680693388,2.3002425408363343,0.2285
45,2.3002742831905683,2.300191285610199,0.2309
46,2.300234439224005,2.300140047073364,0.2341
47,2.300196846574545,2.3000887799263,0.2371
48,2.3001206062734125,2.3000375914573667,0.2396
49,2.3000856317579745,2.299986095428467,0.2421
50,2.3000276339550814,2.299934890270233,0.2445
