epoch,batch,iteration,global_gradient_norm(average)
1,1,1,0.859010740205562
1,2,2,0.9508149004755722
1,3,3,1.046678911579432
1,4,4,1.2248584207064739
1,5,5,2.019164991181675
1,6,6,2.642022162260605
1,7,7,1.6757650552772394
1,8,8,0.7835001651112786
1,9,9,0.5260314389880851
1,10,10,0.48825244897227377
1,11,11,0.42764234533143347
1,12,12,0.4015300731920544
2,1,13,0.5225571819026131
2,2,14,0.7100075307517625
2,3,15,0.9252930285178086
2,4,16,1.285816181040909
2,5,17,1.388578214794904
2,6,18,1.1962145067296373
2,7,19,0.7671761837098434
2,8,20,0.42458909912325593
2,9,21,0.3478689673965451
2,10,22,0.3372136623757126
2,11,23,0.3723817443643553
2,12,24,0.37042453604415265
3,1,25,0.37394044319515934
3,2,26,0.3857275862748827
3,3,27,0.5272523799434625
3,4,28,0.7120880234300083
3,5,29,0.9740571806233528
3,6,30,1.075239628293145
3,7,31,1.0065368767731222
3,8,32,0.8518344811297444
3,9,33,0.6477096086631471
3,10,34,0.46156477041547206
3,11,35,0.3570289243488176
3,12,36,0.37470912705556714
4,1,37,0.32773804695822645
4,2,38,0.38648003503514655
4,3,39,0.5708592879637169
4,4,40,0.6984497584576902
4,5,41,0.6640445887379992
4,6,42,0.7483034476018373
4,7,43,0.6997087906480635
4,8,44,0.603517615136613
4,9,45,0.5367333584225796
4,10,46,0.4713084298699512
4,11,47,0.4119385672722601
4,12,48,0.4135029021529835
5,1,49,0.46407528143156057
5,2,50,0.441749215463544
5,3,51,0.42918808731957264
5,4,52,0.46276862173092853
5,5,53,0.4023587205566838
5,6,54,0.3955575636122587
5,7,55,0.48068015697202854
5,8,56,0.544675889426447
5,9,57,0.4761990356812259
5,10,58,0.4103075644040481
5,11,59,0.3831650389327845
5,12,60,0.3350288130623292
6,1,61,0.34226346927971657
6,2,62,0.3772424728364728
6,3,63,0.5036460818773918
6,4,64,0.4712283682269799
6,5,65,0.43807635402675793
6,6,66,0.41728233610500143
6,7,67,0.34562756455075716
6,8,68,0.38862886857381246
6,9,69,0.3480176654667047
6,10,70,0.36416688303272543
6,11,71,0.44302330249382693
6,12,72,0.4360890969004843
7,1,73,0.40981268993709213
7,2,74,0.30916595475017017
7,3,75,0.24083343085490674
7,4,76,0.257006739262996
7,5,77,0.2610676076399636
7,6,78,0.27634241296390505
7,7,79,0.22299339250329875
7,8,80,0.28098801172564686
7,9,81,0.34942990637561794
7,10,82,0.3108507910300536
7,11,83,0.3924284792218994
7,12,84,0.43652298832205777
8,1,85,0.46687048977536866
8,2,86,0.5696988178250683
8,3,87,0.7747051176699316
8,4,88,0.9118939378445309
8,5,89,0.9357593277517177
8,6,90,0.5784665179427918
8,7,91,0.4029408545622985
8,8,92,0.41956888687013894
8,9,93,0.35147573805527677
8,10,94,0.41317430032798613
8,11,95,0.5073528193943121
8,12,96,0.4408527334597887
9,1,97,0.4916973731592953
9,2,98,0.5181031142076504
9,3,99,0.4509439644042959
9,4,100,0.3735167179770416
9,5,101,0.30167703899315446
9,6,102,0.23436672833587308
9,7,103,0.22743210582191065
9,8,104,0.2201185369154208
9,9,105,0.2552455519350518
9,10,106,0.30238216864897055
9,11,107,0.2879365052837174
9,12,108,0.25881748209997985
10,1,109,0.2600149546979774
10,2,110,0.2552391220046383
10,3,111,0.2428871713151224
10,4,112,0.20674241491627832
10,5,113,0.21941761387188088
10,6,114,0.2816348303789509
10,7,115,0.2316040573393905
10,8,116,0.24399567927806046
10,9,117,0.32783892578981516
10,10,118,0.2778930653147637
10,11,119,0.2615713109653592
10,12,120,0.2956685602491313
11,1,121,0.40543693321018986
11,2,122,0.338581076441368
11,3,123,0.28464417050336116
11,4,124,0.2440787618646711
11,5,125,0.24119863745423448
11,6,126,0.2525490956772761
11,7,127,0.2454077320829323
11,8,128,0.2669928985666321
11,9,129,0.2917658659810839
11,10,130,0.25206636652836767
11,11,131,0.29125588404961494
11,12,132,0.2701111440957637
12,1,133,0.32297209275264255
12,2,134,0.34568689873319414
12,3,135,0.3698660586586304
12,4,136,0.33267741979998433
12,5,137,0.37071811544250244
12,6,138,0.36521966251380644
12,7,139,0.3003698666682528
12,8,140,0.2597535720101497
12,9,141,0.2728439710498221
12,10,142,0.2844073650950748
12,11,143,0.3121646264800688
12,12,144,0.22319777397141008
13,1,145,0.24107237837088938
13,2,146,0.2639433578756182
13,3,147,0.24133256725176763
13,4,148,0.2600809511153409
13,5,149,0.24908799714480587
13,6,150,0.20103757844226536
13,7,151,0.2314429014219911
13,8,152,0.25218230617896314
13,9,153,0.26024378476968674
13,10,154,0.28610981319244827
13,11,155,0.3349228667008192
13,12,156,0.3582895446588712
14,1,157,0.37805092962314485
14,2,158,0.31952969864417524
14,3,159,0.2330143157019584
14,4,160,0.25262480399231113
14,5,161,0.22172324742759317
14,6,162,0.2515812270832054
14,7,163,0.2026314153438659
14,8,164,0.19736704095637259
14,9,165,0.17850096285013156
14,10,166,0.24291243831233628
14,11,167,0.2178513663210647
14,12,168,0.2521451274863538
15,1,169,0.22201078492090753
15,2,170,0.24537898843464334
15,3,171,0.21484137414275922
15,4,172,0.19557474922032264
15,5,173,0.19578604166195093
15,6,174,0.24234129297330104
15,7,175,0.21846575754650538
15,8,176,0.19078186562523022
15,9,177,0.19192018325891616
15,10,178,0.20111940636487408
15,11,179,0.23797337204273641
15,12,180,0.22030500688839874
16,1,181,0.21548348307761703
16,2,182,0.20868340903761565
16,3,183,0.21807414910852865
16,4,184,0.1946685542451748
16,5,185,0.25456203993757887
16,6,186,0.242080652125804
16,7,187,0.2171246202172579
16,8,188,0.22784895433020796
16,9,189,0.22707790695926924
16,10,190,0.21577969936079958
16,11,191,0.255820172128287
16,12,192,0.2575032168039963
17,1,193,0.26985117900718525
17,2,194,0.2264657731844079
17,3,195,0.19756199745599898
17,4,196,0.2194040298798927
