epoch,batch,iteration,global_gradient_norm(average)
1,1,1,0.7519690770218698
1,2,2,0.7877706424099209
1,3,3,0.9375316234938212
1,4,4,1.0201968545124729
1,5,5,1.7739146776640002
1,6,6,2.471181236176253
1,7,7,1.237758455727609
1,8,8,0.6526208391009403
1,9,9,0.5695727174307471
1,10,10,0.5042487642789698
1,11,11,0.497974414284317
1,12,12,0.5119937189398044
1,13,13,0.6101904334081985
1,14,14,0.9257173064315809
1,15,15,1.4219171802965447
1,16,16,1.6366583869412743
1,17,17,1.2997927362995472
1,18,18,0.6639661786139208
1,19,19,0.4089543496353352
1,20,20,0.4490157823854583
1,21,21,0.42919503171730544
1,22,22,0.35611108579547324
1,23,23,0.33920822125408145
1,24,24,0.43346702779781093
1,25,25,0.498481731925517
1,26,26,0.4066629335527625
1,27,27,0.37179029071835107
1,28,28,0.3749650594444509
1,29,29,0.40220654322599086
1,30,30,0.3584421925000372
1,31,31,0.36658105332231267
1,32,32,0.3637108488892204
2,1,33,0.951177574738275
2,2,34,0.8877667384819741
2,3,35,0.554744879023228
2,4,36,0.5593105549831334
2,5,37,0.46149094549737674
2,6,38,0.4057805163535756
2,7,39,0.34566616465594535
2,8,40,0.3288574303848131
2,9,41,0.35832023110931394
2,10,42,0.309584169668963
2,11,43,0.38163280893509677
2,12,44,0.3169844774753133
2,13,45,0.3106316382701171
2,14,46,0.2951154527604669
2,15,47,0.29374105669232653
2,16,48,0.3215951514872523
2,17,49,0.2840126434147902
2,18,50,0.31020428019916024
2,19,51,0.49455796646875455
2,20,52,0.4402159826676939
2,21,53,0.4238605654426063
2,22,54,0.2648704815881796
2,23,55,0.35248977851579766
2,24,56,0.39117393800864414
2,25,57,0.390696289704691
2,26,58,0.32205835429234736
2,27,59,0.42245972014192323
2,28,60,0.3437912843999624
2,29,61,0.28858275011858325
2,30,62,0.30258332257132514
2,31,63,0.2377170810525201
2,32,64,0.2666736119227286
3,1,65,0.6015082973116851
3,2,66,0.35912853853443744
3,3,67,0.2890179603014582
3,4,68,0.25748541322521745
3,5,69,0.2888876547064167
3,6,70,0.2544110648452681
3,7,71,0.24728019972784757
3,8,72,0.30125915003349674
3,9,73,0.26574609956886563
3,10,74,0.22687342447177158
3,11,75,0.32047522211497903
3,12,76,0.2835204591976018
3,13,77,0.346710597222008
3,14,78,0.26136043090733646
3,15,79,0.2938042140019057
3,16,80,0.3082865014605549
3,17,81,0.2369523955271717
3,18,82,0.3228063294401004
3,19,83,0.2628026308510407
3,20,84,0.28754120431089797
3,21,85,0.2470766868606551
3,22,86,0.21622424460278597
3,23,87,0.24496013504565278
3,24,88,0.2135906549476125
3,25,89,0.2280993869302682
3,26,90,0.25596052440330297
3,27,91,0.24246257413553285
3,28,92,0.22158746883601976
3,29,93,0.2525415559869101
3,30,94,0.23160615816887786
3,31,95,0.22938709124219
3,32,96,0.2248635954036247
4,1,97,0.40673716623956924
4,2,98,0.30618981650758287
4,3,99,0.28092447024014294
4,4,100,0.27333762934815486
4,5,101,0.23480680817143382
4,6,102,0.2310600896577567
4,7,103,0.23236597853280208
4,8,104,0.24448015587955746
4,9,105,0.24225517285308024
4,10,106,0.25270007307761144
4,11,107,0.20467101528839918
4,12,108,0.24991431058268446
4,13,109,0.1994296528025354
4,14,110,0.1966055984495874
4,15,111,0.21405013721183094
4,16,112,0.21564291397393756
4,17,113,0.25874215111123877
4,18,114,0.2171375884910294
4,19,115,0.21879553784871475
4,20,116,0.28624942837316936
4,21,117,0.2684953943139905
4,22,118,0.2414677320075435
4,23,119,0.27622187768447315
4,24,120,0.22571830851486135
4,25,121,0.22602328929268906
4,26,122,0.20710647052756392
4,27,123,0.2468228418317516
4,28,124,0.21193517011528723
4,29,125,0.1865285590992172
4,30,126,0.23196691692868474
4,31,127,0.21837227353882754
4,32,128,0.2356597342871277
5,1,129,0.42415166539901117
5,2,130,0.2877230111023365
5,3,131,0.25823522019001316
5,4,132,0.24406428933329585
5,5,133,0.21142223050985107
5,6,134,0.19821328556136128
5,7,135,0.21189919619688027
5,8,136,0.2524123601694146
5,9,137,0.2427607705625978
5,10,138,0.21978700184486424
5,11,139,0.1799108041757166
5,12,140,0.20659091943599256
5,13,141,0.2109057762803615
5,14,142,0.20177740451661538
5,15,143,0.2130522042357303
5,16,144,0.256387112481762
5,17,145,0.21441266035629197
5,18,146,0.2284781639285503
5,19,147,0.19763116817290868
5,20,148,0.2240595381119434
5,21,149,0.20963349981141896
5,22,150,0.19156262455470263
5,23,151,0.22640844675348434
5,24,152,0.22611561384375425
5,25,153,0.19658533212133364
5,26,154,0.20337752226153671
5,27,155,0.20625274861922288
5,28,156,0.22479856367119985
5,29,157,0.18590188140649014
5,30,158,0.18027662716416865
5,31,159,0.22947861314929685
5,32,160,0.22835278318762875
6,1,161,0.4596276098464893
6,2,162,0.2911314670447104
6,3,163,0.20046863933700182
6,4,164,0.17526946059709192
6,5,165,0.19149266838081128
6,6,166,0.2030474792846394
6,7,167,0.20120476009269014
6,8,168,0.1718420506746211
6,9,169,0.1897775983326984
6,10,170,0.18971795273126563
6,11,171,0.17611279374506458
6,12,172,0.1764802966237137
6,13,173,0.23133360524904154
6,14,174,0.2651064056540827
6,15,175,0.20806183941589537
6,16,176,0.24844369239176475
6,17,177,0.19747846642404218
6,18,178,0.2187181998807636
6,19,179,0.1797432562019696
6,20,180,0.17984785873013645
6,21,181,0.21445741341309255
6,22,182,0.16306214091404633
6,23,183,0.19385994547116234
6,24,184,0.20822191822775157
6,25,185,0.17868715780979322
6,26,186,0.16448717119164644
6,27,187,0.15907684463586286
6,28,188,0.22759909184163105
6,29,189,0.1733058154683958
6,30,190,0.19272263318198796
6,31,191,0.19622708599597471
6,32,192,0.1940444390753577
7,1,193,0.271988591481554
7,2,194,0.2193117765293386
7,3,195,0.19809612390339235
7,4,196,0.184717827323661
7,5,197,0.17858595688959703
7,6,198,0.1910798052255381
7,7,199,0.17670407653838027
7,8,200,0.17354456738667065
7,9,201,0.1759617867996713
7,10,202,0.17234958675650033
7,11,203,0.2302985841319119
7,12,204,0.19545423915336152
7,13,205,0.1771690818472937
7,14,206,0.1621532867187936
7,15,207,0.17718462909792787
7,16,208,0.19103612084053528
7,17,209,0.19154316479114217
7,18,210,0.1655095478893226
7,19,211,0.18046183082969802
7,20,212,0.1716548307786605
7,21,213,0.16659182330977057
7,22,214,0.1729034713088999
7,23,215,0.1642329306685729
7,24,216,0.1943630372027258
7,25,217,0.177801026549481
7,26,218,0.19467028789080204
7,27,219,0.16974681030958103
7,28,220,0.1778117070594957
7,29,221,0.1660970953405
7,30,222,0.16542959725580753
7,31,223,0.18090500335638318
7,32,224,0.18159077898630713
8,1,225,0.5979731587160476
8,2,226,0.27208785077968783
8,3,227,0.19629034104651058
8,4,228,0.15542720914044814
8,5,229,0.19098393387441712
8,6,230,0.1623452453371165
8,7,231,0.1506240059004505
8,8,232,0.16711141816883673
8,9,233,0.17041677276816092
8,10,234,0.19071500771647631
8,11,235,0.17506684311753803
8,12,236,0.18396954029804502
8,13,237,0.1836938634785174
8,14,238,0.2378959976288511
8,15,239,0.2653199774089502
8,16,240,0.17829653699426853
8,17,241,0.1647605369847811
8,18,242,0.16128747717901615
8,19,243,0.142964768955781
8,20,244,0.1543036851047791
8,21,245,0.1690927122529952
8,22,246,0.17610753241914395
8,23,247,0.158457537048217
8,24,248,0.1772038519189078
8,25,249,0.13850154279351654
8,26,250,0.1545976658832546
8,27,251,0.15607761069152168
8,28,252,0.17459327150404955
8,29,253,0.16184094387598805
8,30,254,0.1724050430177365
8,31,255,0.16316767503450505
8,32,256,0.14464041992933754
9,1,257,0.36428126900888813
9,2,258,0.24109453879698894
9,3,259,0.1881724882777045
9,4,260,0.16749428369624883
9,5,261,0.1718126130516714
9,6,262,0.1509164785931326
9,7,263,0.19339408645353434
9,8,264,0.17406537339846323
9,9,265,0.1450630160146009
9,10,266,0.15112497912679185
9,11,267,0.1588588336384256
9,12,268,0.15096111520328356
9,13,269,0.1494608073558556
9,14,270,0.15412566246220114
9,15,271,0.16086992875447198
9,16,272,0.16780377023750062
9,17,273,0.15542807371772147
9,18,274,0.18439648349829257
9,19,275,0.14619016345994046
9,20,276,0.1417577237434886
9,21,277,0.1641520280698969
9,22,278,0.16060587676073063
9,23,279,0.21542499859578867
9,24,280,0.15720823468682224
9,25,281,0.14299017001705921
9,26,282,0.14362951779650665
9,27,283,0.14036537879350328
9,28,284,0.1349435509521697
9,29,285,0.148095061272058
9,30,286,0.13625227693847364
9,31,287,0.1572249862315334
