epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
1,1,1,2.3819274425506594,2.3022666255633037,0.11236666666666667,2.3018638586997984,0.1135
1,2,2,2.36981258392334,2.30233553647995,0.11236666666666667,2.301845979690552,0.1135
1,3,3,2.3572951793670653,2.302372765541077,0.11236666666666667,2.3017911982536314,0.1135
1,4,4,2.342342472076416,2.3024081190427146,0.11236666666666667,2.301776313781738,0.1135
1,5,5,2.3466792583465574,2.302414906024933,0.11235,2.3017573070526125,0.1135
1,6,6,2.3405370712280273,2.3024065931638082,0.11211666666666667,2.3017064690589906,0.1134
1,7,7,2.336676502227783,2.30235515832901,0.11246666666666667,2.301604006290436,0.1079
1,8,8,2.3377562522888184,2.3022773623466493,0.11083333333333334,2.3014502573013305,0.0864
1,9,9,2.3348831653594972,2.3021448413530985,0.11046666666666667,2.301242015361786,0.0674
1,10,10,2.33421106338501,2.3020161827405294,0.10448333333333333,2.3010002470016477,0.0653
1,11,11,2.3302599430084228,2.301824378967285,0.10285,2.3007025957107543,0.0726
1,12,12,2.3272515773773192,2.301688011487325,0.10318333333333334,2.300337255001068,0.0791
2,1,13,2.3206847667694093,2.3014423727989195,0.10541666666666667,2.2998884606361387,0.0843
2,2,14,2.3215189456939695,2.301119637489319,0.10646666666666667,2.299354224205017,0.087
2,3,15,2.32455735206604,2.300714921951294,0.10865,2.298727860450745,0.0939
2,4,16,2.317804384231567,2.3003166278203326,0.11145,2.2979983139038085,0.1013
2,5,17,2.321611022949219,2.2997201999028523,0.11793333333333333,2.29714013338089,0.112
2,6,18,2.3153836727142334,2.2991850415865582,0.12368333333333334,2.2961764478683473,0.1236
2,7,19,2.316172742843628,2.2985043565432233,0.13168333333333335,2.2950645899772644,0.1335
2,8,20,2.319004535675049,2.2977495233217877,0.13866666666666666,2.293825936317444,0.1449
2,9,21,2.313011646270752,2.296862860520681,0.14648333333333333,2.2923916935920716,0.1547
2,10,22,2.3133289337158205,2.295889707406362,0.15148333333333333,2.290775740146637,0.1695
2,11,23,2.308099365234375,2.294812842210134,0.16156666666666666,2.2890435099601745,0.1847
2,12,24,2.307371807098389,2.2937678575515745,0.16591666666666666,2.2871768617630006,0.2006
3,1,25,2.307483434677124,2.2923285802205404,0.1756,2.2851405143737793,0.2152
3,2,26,2.301693058013916,2.2908247907956443,0.18246666666666667,2.2829554057121277,0.2285
3,3,27,2.309843158721924,2.2895424246788023,0.1852,2.2806519293785095,0.2434
3,4,28,2.3087908744812013,2.2878347873687743,0.19491666666666665,2.2782107996940613,0.2576
3,5,29,2.3049715518951417,2.286234128475189,0.19951666666666668,2.275641372203827,0.2665
3,6,30,2.2989211082458496,2.2845698515574138,0.20688333333333334,2.272971503734589,0.2779
3,7,31,2.301461172103882,2.282974088191986,0.20675,2.2702003288269044,0.2878
3,8,32,2.2992743968963625,2.280956729253133,0.21616666666666667,2.2672924399375916,0.2943
3,9,33,2.297922420501709,2.2792455037434896,0.21873333333333334,2.2644310879707334,0.3049
3,10,34,2.2959407806396483,2.276818271478017,0.22505,2.2613040590286255,0.3135
3,11,35,2.297214078903198,2.275015052159627,0.22945,2.2582660794258116,0.3186
3,12,36,2.292570781707764,2.272843837738037,0.2324,2.2551451826095583,0.3236
4,1,37,2.2906928062438965,2.2709685881932575,0.23626666666666668,2.252057504653931,0.3285
